,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,LABOR_INC_PROP_PRE_ADJ,QUAL_DIVS_ALL_PROP_PRE_ADJ,BUS_INC_ALL_PROP_PRE_ADJ,CAP_GAIN_ALL_PROP_PRE_ADJ,S_CORP_INC_ALL_PROP_PRE_ADJ,TOTAL_CAPITAL_INCOME,WAGE_INCOME_RATIO,CAPITAL_INCOME_RATIO,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,Rw,Rc,CORP_REV_WEIGHT,CORP_REV_PROPORTION,CORP_RATE_TOTAL,CORP_RATE_PER_FILER,GILTI_CHANGES_TOTAL,GILTI_CHANGES_PER_FILER,REPEAL_FIDII_TOTAL,REPEAL_FIDII_PER_FILER,BOOK_TAX_TOTAL,BOOK_TAX_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,69615,717130,48,300380,0.0008778001411656528,443514,0.0007109227527882924,512655,0.0006936030060413741,7506,94549,0.002004701674430679,0.002704112147223318,786745,0.0014402103082504778,218251,0.003456333257856546,141538,0.0033583258568360146,0.0015492219825245861,0.0010073006301340437,0.0014867646036146721,0.0009284882897146787,0.0017098258360439373,2721897,0.0015492219825245861,0.001275693635979527,0.0,0.0,27605399.64044669,91.90159012066945,32836795.028110895,109.317514575241,35285152.552136704,117.46838189006161,639830.4775094632,2.1300701694835316,568738.2022306339,1.8933957062075835,-6219457.938613632,-20.70529974903,-53227532.1709908,-177.200653076073,-23054069.25595281,-76.74968125691727,-139034690.47301102,-462.8626755210434,0.5,0.5,0.0014124578092520566,0.0014124578092520569,160031469.78825805,532.7633989888077,74577772.3285086,248.27808884915308,9039729.979213163,30.09431379989734,16667002.149174271,55.48639106856073,451.8148355650184,6676.79605832612,0.06766940784443982
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,38183,421980,12,280070,0.0005063436950877199,206409,0.00033085957710529695,262767,0.00035551390523543854,8153,94555,0.0021775023649924495,0.0027042837479053275,460163,0.0008423714114172504,206028,0.003262763645754972,100821,0.002392218140796562,0.001364226807264922,0.0007794602753547857,0.0010410856588922654,0.0005280519161016212,0.0010095630505803919,1689218,0.001364226807264922,0.0007916995582059368,0.0,0.0,14149453.428370453,50.521131961189894,19206068.180313308,68.5759566548124,20638099.579722635,73.68907622995192,297773.6193947673,1.0632114092718508,264687.66168423754,0.9450768082416451,-6219852.620182253,-22.20820730596727,-50246560.14462657,-179.40714872934115,-25041277.19741317,-89.41078015286595,-99037831.02897768,-353.61813485549214,0.5,0.5,0.0010779631827354294,0.0010779631827354296,122133228.60392417,436.08108188640045,56916456.04843068,203.22225175288565,6898964.369506749,24.633000212470986,12719965.556278069,45.417094141743384,259.5036100133017,5401.360374192166,0.048044120746546806
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,44356,397143,22,284970,0.0005278494092093232,238923,0.0003829773059349585,284720,0.00038521549166613034,8763,89979,0.0023404210995251855,0.0025734096277592244,441499,0.0008082052137379682,188799,0.0029899164849190064,106162,0.002518946075353792,0.0014435599174653045,0.000731586661416335,0.0011063168034224217,0.0005617113630630497,0.0009647158560247798,1700599,0.0014435599174653045,0.0007970335841705794,0.0,0.0,15331576.568311987,53.80066873113657,18427078.873225674,64.66322375416946,19801027.73658022,69.48460447268211,344679.5753414627,1.2095293376196186,306381.8447479668,1.0751371889952164,-5918842.143846216,-20.770053492810526,-46044713.8677527,-161.57740768415167,-26914842.644539632,-94.44798626009626,-104284367.51964699,-365.94858237585356,0.5,0.5,0.001120296750817942,0.0011202967508179421,126929621.86767285,445.4139799546368,59151668.44318734,207.57156347400547,7169899.205234829,25.160189512000663,13219501.659651717,46.38909941275123,272.02396602508514,5428.364389233954,0.05011158914913465
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,42645,564576,26,270680,0.0006298801524457432,391385,0.000627363514116907,443384,0.0005998819385954465,5541,88680,0.001479889685321129,0.0025362580801041134,607221,0.001111574835030618,166813,0.0026417350653276457,124980,0.002965447905066944,0.0013377544629544298,0.0006500985449458187,0.0012802655755558858,0.0006971307909865931,0.0012264083910183546,2038428,0.0013377544629544298,0.0009553666531108544,0.0,0.0,23875301.15609877,88.20489565575134,25343906.238698088,93.63050923118844,27233583.45825014,100.61173141070688,564627.1627052162,2.0859581893941783,501890.81129352556,1.8541850572392697,-5833393.5842394605,-21.55088511984432,-40682720.006045744,-150.2982119330787,-17018731.381192982,-62.87398914287344,-122769543.26977149,-453.55971357237877,0.5,0.5,0.001146560558032642,0.0011465605580326423,129905311.22509837,479.9220896449622,60538397.46412351,223.65301265007946,7337987.571408911,27.109456078797514,13529414.584785178,49.983059645282914,378.772097795227,5435.1115708585785,0.06968984773488152
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,59121,722401,43,322510,0.0008714652053667097,375091,0.0006012453412206005,438957,0.0005938923734732002,8199,76458,0.002189788040055574,0.0021867074908502515,781522,0.001430649118233392,146407,0.0023185753251210913,135026,0.003203813160742272,0.0019893956773856854,0.0010416743387201824,0.0015602767240895361,0.0008852659827035339,0.0014730300946637987,2558209,0.0019893956773856854,0.0011989766478325775,0.0,0.0,23636916.46423337,73.29049165679628,32618799.89572134,101.1404294307815,35050903.39671811,108.68160180062047,541120.8070985405,1.6778419493923924,480996.2729764804,1.491415066126571,-5029427.228955578,-15.594639635842542,-35706060.00686481,-110.7130321753273,-25182562.4606391,-78.0830438145766,-132637864.85473007,-411.2674486209112,0.5,0.5,0.0015941861626091315,0.0015941861626091317,180621292.22361463,560.0486565489896,84173029.38576216,260.99354868302424,10202791.440698443,31.635581658548396,18811396.718787756,58.32810368294861,581.6295062305704,7857.083501286782,0.07402613274191562
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,149581,1903640,170,312440,0.0025178522816780386,1317243,0.0021114508666042306,1601777,0.002167144263116392,10916,65643,0.0029154441084579394,0.0018773972615276763,2053221,0.0037586130821503213,115197,0.0018243179747414698,110991,0.0026335255915449288,0.0023159341328701953,0.0025899834576854673,0.0023366352579510374,0.00209742135516126,0.0036791108313451613,5737450,0.0023159341328701953,0.0026890174212142255,0.0,0.0,86252341.6720324,276.0604969659211,85696378.27302733,274.28107243959585,92086020.51268287,294.73185415658327,1900305.7799438075,6.082146267903622,1689160.6932833844,5.406352238136552,-4318013.7015136555,-13.82029734193335,-28094496.811018635,-89.91965436889846,-33527607.247266304,-107.30894650898189,-109027959.48996004,-348.95647001011406,0.5,0.5,0.0025024757770422106,0.002502475777042211,283530505.5388825,907.4718523200694,132130721.02782874,422.89950399381877,16015844.97307015,51.260545938644704,29529214.16909809,94.51163157437617,1772.7000876651218,12464.16912047113,0.1422236869968045
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,19556,284229,11,259380,0.00035970703136552776,218707,0.00035057243400223915,263775,0.0003568776914661194,6764,109344,0.00180652839406463,0.0031272508289456945,303785,0.0005561068560866246,278988,0.004418195119119189,78114,0.0018534405317362718,0.0010965691577519972,0.0004912804922894509,0.0003171903450590665,0.0004209672254390099,0.0006206423464819617,1012238,0.0010965691577519972,0.00047441382781811524,0.0,0.0,14203732.120351553,54.76032122889796,12679236.31877504,48.88286035459573,13624617.9741223,52.52763503015769,315515.19060201524,1.2164206592721691,280457.94720179134,1.0812628082419282,-7192676.906575098,-27.730267971991278,-68040204.83443551,-262.31862454482035,-20775076.531743247,-80.09513660167804,-76732438.01388165,-295.8302028447901,0.5,0.5,0.0007854914927850562,0.0007854914927850563,88996186.13254687,343.1112118611569,41473950.819050975,159.8964870809275,5027145.5538243605,19.381392373445756,9268799.614863664,35.73444218854061,50.61780162195644,3938.7153982573827,0.012851347839031838
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,97990,807977,77,348970,0.0010709832949097394,462994,0.0007421478668192271,560905,0.0007588834481349776,8024,70000,0.002143049058837166,0.0020020079567804236,905967,0.001658457330310025,96852,0.0015337972732767419,97613,0.0023161007069715123,0.0022387904791972796,0.0014048366277582,0.002365397166170516,0.0011595795529577395,0.0019075642312699184,3458674,0.0022387904791972796,0.0016210049133849865,0.0,0.0,30203561.235772107,86.55059528260912,37812827.13106857,108.35552377301364,40632204.592595614,116.43466370345764,667933.0801373044,1.9140128954847246,593718.2934553818,1.7013447959864223,-4604618.300594974,-13.194882942931983,-23620478.008461826,-67.68627105041071,-24645064.176627412,-70.62230041730639,-95886569.26862061,-274.770236033529,0.5,0.5,0.0019298976962911331,0.0019298976962911333,218657408.9897854,626.5793878837304,101898598.36417183,291.99816134387436,12351345.256263254,35.39371652653023,22772792.816235375,65.25716484579011,907.9108806062986,9095.039688225348,0.09982483988296405
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,35519,299519,28,297640,0.0006327905537691762,434553,0.0006965588797476762,493933,0.0006682728415465255,4853,98116,0.0012961387191596171,0.0028061287526781145,335038,0.0006133183957389289,162105,0.002567176795363299,74237,0.0017614494809445888,0.0015056759962069001,0.0011675367400753181,0.0011613699583140895,0.001065419798662145,0.0008914792483532381,2213300,0.0015056759962069001,0.0010373253376279436,0.0,0.0,26597259.093551718,89.36049957516369,13983659.422847578,46.98178814288261,15026300.695603758,50.484816206167714,626902.9917729086,2.106245772654578,557247.103798141,1.8722184645818472,-6454096.131159663,-21.684236430451765,-39534522.648594804,-132.82664510346325,-14905595.270335596,-50.07927452740088,-72924008.51110598,-245.00742007494284,0.5,0.5,0.001271500666917422,0.0012715006669174222,144061025.56174394,484.01097151506497,67135235.2132399,225.55851099731183,8137604.268271502,27.340425575431738,15003707.869625581,50.40890965470226,528.5268097677025,6256.937911571025,0.08447052172122277
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,77017,546331,64,332810,0.0010648689607364013,673009,0.001078787616470497,827454,0.0011195142576605303,6472,77457,0.0017285410654030583,0.002215279004404875,623348,0.0011410968169194833,140285,0.002221624235757937,56410,0.0013384614844361203,0.001713678871370835,0.0021833413506656177,0.0017419811016088018,0.0015443080329543325,0.0013249219413648287,3363355,0.001713678871370835,0.0015763309813119019,0.0,0.0,44556667.454889104,133.88019426967068,26017007.425764218,78.17375507275688,27956872.01452734,84.00249996853262,970908.8548234473,2.917306736045934,863030.0931763975,2.593161543151941,-5095141.710131212,-15.309460984138735,-34213013.23067223,-102.80043637712879,-19878222.25213517,-59.728440407845824,-55412305.45565538,-166.49831872736812,0.5,0.5,0.0016450049263413685,0.0016450049263413687,186379058.15447706,560.0164002117637,86856260.11082427,260.97851660354036,10528031.52858476,31.63375958830792,19411058.13082815,58.32474424094273,868.1836817382314,7618.92671494246,0.11395091647692637
