,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,LABOR_INC_PROP_PRE_ADJ,QUAL_DIVS_ALL_PROP_PRE_ADJ,BUS_INC_ALL_PROP_PRE_ADJ,CAP_GAIN_ALL_PROP_PRE_ADJ,S_CORP_INC_ALL_PROP_PRE_ADJ,TOTAL_CAPITAL_INCOME,WAGE_INCOME_RATIO,CAPITAL_INCOME_RATIO,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,Rw,Rc,CORP_REV_WEIGHT,CORP_REV_PROPORTION,CORP_RATE_TOTAL,CORP_RATE_PER_FILER,GILTI_CHANGES_TOTAL,GILTI_CHANGES_PER_FILER,REPEAL_FIDII_TOTAL,REPEAL_FIDII_PER_FILER,BOOK_TAX_TOTAL,BOOK_TAX_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,69615,717130,48,300380,0.0008778001411656528,443514,0.0007109227527882924,512655,0.0006936030060413741,7506,94549,0.002004701674430679,0.002704112147223318,786745,0.0014402103082504778,218251,0.003456333257856546,141538,0.0033583258568360146,0.0015492219825245861,0.0010073006301340437,0.0014867646036146721,0.0009284882897146787,0.0017098258360439373,2721897,0.0015492219825245861,0.001275693635979527,0.0,0.0,24068024.30963568,80.12525570822186,30964521.627385274,103.08449839331938,33988963.27471127,113.15321684103893,568738.2022306339,1.8933957062075835,568738.2022306339,1.8933957062075835,-6489869.153335963,-21.60553017290087,-53227532.1709908,-177.200653076073,-22252188.586180538,-74.08012712624189,-133997201.68775699,-446.0922887268027,0.5,0.5,0.0014124578092520566,0.0014124578092520569,156076587.92235228,519.5971367013526,72600331.39555572,241.69495770542554,7768517.950886313,25.86230092178678,14407069.65437098,47.96281261858639,416.2883712001281,6676.79605832612,0.06234852278901148
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,38183,421980,12,280070,0.0005063436950877199,206409,0.00033085957710529695,262767,0.00035551390523543854,8153,94555,0.0021775023649924495,0.0027042837479053275,460163,0.0008423714114172504,206028,0.003262763645754972,100821,0.002392218140796562,0.001364226807264922,0.0007794602753547857,0.0010410856588922654,0.0005280519161016212,0.0010095630505803919,1689218,0.001364226807264922,0.0007916995582059368,0.0,0.0,12336332.511669718,44.047318569178124,18110985.345470883,64.66592403852924,19879965.30944711,70.98213057252512,264687.66168423754,0.9450768082416451,264687.66168423754,0.9450768082416451,-6490280.994972786,-23.173781536661497,-50246560.14462657,-179.40714872934115,-24170276.251416188,-86.30083997363583,-95449503.81778283,-340.80588359261196,0.5,0.5,0.0010779631827354294,0.0010779631827354296,119114931.69226497,425.3041442934444,55407307.59260108,197.83378295640762,5928797.505044863,21.168984557592253,10995224.463901382,39.25884408862564,235.46362886053524,5401.360374192166,0.043593393617205455
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,44356,397143,22,284970,0.0005278494092093232,238923,0.0003829773059349585,284720,0.00038521549166613034,8763,89979,0.0023404210995251855,0.0025734096277592244,441499,0.0008082052137379682,188799,0.0029899164849190064,106162,0.002518946075353792,0.0014435599174653045,0.000731586661416335,0.0011063168034224217,0.0005617113630630497,0.0009647158560247798,1700599,0.0014435599174653045,0.0007970335841705794,0.0,0.0,13366977.560814723,46.906613190212035,17376412.095366314,60.9762855576598,19073643.044216048,66.93210879817542,306381.8447479668,1.0751371889952164,306381.8447479668,1.0751371889952164,-6176183.106622139,-21.67309929684577,-46044713.8677527,-161.57740768415167,-25978674.204729557,-91.162838911919,-100505948.4066163,-352.6895757680328,0.5,0.5,0.001120296750817942,0.0011202967508179421,123792790.9653826,434.4063970431365,57583252.99204222,202.06777201825534,6161632.129498682,21.622037861875572,11427026.858343009,40.09905203475106,248.05761922110696,5428.364389233954,0.04569656740676405
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,42645,564576,26,270680,0.0006298801524457432,391385,0.000627363514116907,443384,0.0005998819385954465,5541,88680,0.001479889685321129,0.0025362580801041134,607221,0.001111574835030618,166813,0.0026417350653276457,124980,0.002965447905066944,0.0013377544629544298,0.0006500985449458187,0.0012802655755558858,0.0006971307909865931,0.0012264083910183546,2038428,0.0013377544629544298,0.0009553666531108544,0.0,0.0,20815903.269261993,76.90225827272792,23898858.953158285,88.29192756449788,26233166.106722582,96.91579025684418,501890.81129352556,1.8541850572392697,501890.81129352556,1.8541850572392697,-6087019.392249872,-22.487880125054943,-40682720.006045744,-150.2982119330787,-16426775.50706453,-60.68706778138219,-118321371.41217107,-437.1263906168578,0.5,0.5,0.001146560558032642,0.0011465605580326423,126694941.66260697,468.0617026104883,58933212.68287781,217.72281913284252,6306083.069179532,23.29718881771661,11694917.69193295,43.20569562558353,347.5062019388059,5435.1115708585785,0.06393727109522993
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,59121,722401,43,322510,0.0008714652053667097,375091,0.0006012453412206005,438957,0.0005938923734732002,8199,76458,0.002189788040055574,0.0021867074908502515,781522,0.001430649118233392,146407,0.0023185753251210913,135026,0.003203813160742272,0.0019893956773856854,0.0010416743387201824,0.0015602767240895361,0.0008852659827035339,0.0014730300946637987,2558209,0.0019893956773856854,0.0011989766478325775,0.0,0.0,20608065.359520048,63.898996494744495,30758956.04201793,95.37365055972816,33763319.19030805,104.68921642835276,480996.2729764804,1.491415066126571,480996.2729764804,1.491415066126571,-5248097.978040604,-16.272667446096566,-35706060.00686481,-110.7130321753273,-24306647.244616874,-75.36711185580873,-127832145.11361666,-396.3664541056608,0.5,0.5,0.0015941861626091315,0.0015941861626091317,176157570.96830904,546.2080895733747,81941168.75810938,254.0732651952168,8768023.894350225,27.18682798781503,16260698.858613143,50.4192082683115,546.1128190569032,7857.083501286782,0.0695057929532586
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,149581,1903640,170,312440,0.0025178522816780386,1317243,0.0021114508666042306,1601777,0.002167144263116392,10916,65643,0.0029154441084579394,0.0018773972615276763,2053221,0.0037586130821503213,115197,0.0018243179747414698,110991,0.0026335255915449288,0.0023159341328701953,0.0025899834576854673,0.0023366352579510374,0.00209742135516126,0.0036791108313451613,5737450,0.0023159341328701953,0.0026890174212142255,0.0,0.0,75199905.93013881,240.68591067129307,80810181.26623191,258.6422393618996,88703268.73874758,283.90496971817817,1689160.6932833844,5.406352238136552,1689160.6932833844,5.406352238136552,-4505753.427666423,-14.421179835060885,-28094496.811018635,-89.91965436889846,-32361429.60388313,-103.57646141301731,-105077671.10264266,-336.3131196474288,0.5,0.5,0.0025024757770422106,0.002502475777042211,276523573.3631643,885.0453634719124,128627254.93996964,411.68625956974023,13763616.773732161,44.05203166602279,25525252.925830554,81.696495089715,1672.2955587606289,12464.16912047113,0.13416823396708036
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,19556,284229,11,259380,0.00035970703136552776,218707,0.00035057243400223915,263775,0.0003568776914661194,6764,109344,0.00180652839406463,0.0031272508289456945,303785,0.0005561068560866246,278988,0.004418195119119189,78114,0.0018534405317362718,0.0010965691577519972,0.0004912804922894509,0.0003171903450590665,0.0004209672254390099,0.0006206423464819617,1012238,0.0010965691577519972,0.00047441382781811524,0.0,0.0,12383655.893874343,47.74329514177787,11956297.405862428,46.09567972034247,13124121.803644339,50.598048437213116,280457.94720179134,1.0812628082419282,280457.94720179134,1.0812628082419282,-7505401.989469667,-28.935931796860462,-68040204.83443551,-262.31862454482035,-20052465.174117394,-77.30921880683705,-73952277.21627724,-285.1117172344716,0.5,0.5,0.0007854914927850562,0.0007854914927850563,86796809.95274872,334.6318526977744,40374262.72915189,155.6568074992362,4320203.210317809,16.655884070929947,8012013.2264075745,30.889094095179175,30.757694895947584,3938.7153982573827,0.007809067623813541
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,97990,807977,77,348970,0.0010709832949097394,462994,0.0007421478668192271,560905,0.0007588834481349776,8024,70000,0.002143049058837166,0.0020020079567804236,905967,0.001658457330310025,96852,0.0015337972732767419,97613,0.0023161007069715123,0.0022387904791972796,0.0014048366277582,0.002365397166170516,0.0011595795529577395,0.0019075642312699184,3458674,0.0022387904791972796,0.0016210049133849865,0.0,0.0,26333255.650283724,75.45994111322958,35656832.60166554,102.1773579438506,39139592.995316595,112.15747197557553,593718.2934553818,1.7013447959864223,593718.2934553818,1.7013447959864223,-4804819.096273017,-13.768573505668158,-23620478.008461826,-67.68627105041071,-23787844.553092547,-68.16587257670443,-92412418.20816334,-264.8147926989808,0.5,0.5,0.0019298976962911331,0.0019298976962911333,213253695.44017023,611.0946369033734,99196741.58936426,284.2557858536959,10614437.329601234,30.416475139986915,19684956.50216956,56.40873571415755,860.9375844040782,9095.039688225348,0.0946601239705054
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,35519,299519,28,297640,0.0006327905537691762,434553,0.0006965588797476762,493933,0.0006682728415465255,4853,98116,0.0012961387191596171,0.0028061287526781145,335038,0.0006133183957389289,162105,0.002567176795363299,74237,0.0017614494809445888,0.0015056759962069001,0.0011675367400753181,0.0011613699583140895,0.001065419798662145,0.0008914792483532381,2213300,0.0015056759962069001,0.0010373253376279436,0.0,0.0,23189067.601664435,77.90978229291908,13186345.508386971,44.30300197684105,14474314.139438722,48.63027193736971,557247.103798141,1.8722184645818472,557247.103798141,1.8722184645818472,-6734709.006427474,-22.627029318732276,-39534522.648594804,-132.82664510346325,-14387139.78267175,-48.337386717752146,-70281834.2896891,-236.13033963744488,0.5,0.5,0.001271500666917422,0.0012715006669174222,140500823.69437516,472.04953532581357,65355134.2795555,219.57779290268613,6993253.668045822,23.495678228886646,12969306.802557707,43.57380326084433,493.3629020771316,6256.937911571025,0.07885053504602468
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,77017,546331,64,332810,0.0010648689607364013,673009,0.001078787616470497,827454,0.0011195142576605303,6472,77457,0.0017285410654030583,0.002215279004404875,623348,0.0011410968169194833,140285,0.002221624235757937,56410,0.0013384614844361203,0.001713678871370835,0.0021833413506656177,0.0017419811016088018,0.0015443080329543325,0.0013249219413648287,3363355,0.001713678871370835,0.0015763309813119019,0.0,0.0,38847144.7408204,116.72469198888375,24533581.56376889,73.7164795642225,26929884.879299805,80.91669384723959,863030.0931763975,2.593161543151941,863030.0931763975,2.593161543151941,-5316669.6105717,-15.97508972257955,-34213013.23067223,-102.80043637712879,-19186805.825973947,-57.650929437138146,-53404613.2290012,-160.465770947391,0.5,0.5,0.0016450049263413685,0.0016450049263413687,181773044.36072123,546.1766303918789,84553253.21394634,254.058631693598,9047527.094877528,27.18526214620212,16779050.24868196,50.41630434386575,817.4887905779569,7618.92671494246,0.10729710642506564
