,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,69615,717130,48,300380,0.0008778001411656528,443514,0.0007109227527882924,512655,0.0006936030060413741,7506,94549,0.002004701674430679,0.002704112147223318,786745,0.0014402103082504778,218251,0.003456333257856546,141538,0.0033583258568360146,0.0,0.0,16369030.942576429,54.494410222306506,27219974.82593403,90.6184660294761,30244416.473260034,100.68718447719567,568738.2022306339,1.8933957062075835,568738.2022306339,1.8933957062075835,-7571514.012225291,-25.20645186838435,-52190632.19363384,-173.74869230186377,-19646076.409420654,-65.40407620154689,-119892233.08904572,-399.13520570292866,-413.90757393333024,6.67679605832612,-61.99194498642471
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,38183,421980,12,280070,0.0005063436950877199,206409,0.00033085957710529695,262767,0.00035551390523543854,8153,94555,0.0021775023649924495,0.0027042837479053275,460163,0.0008423714114172504,206028,0.003262763645754972,100821,0.002392218140796562,0.0,0.0,8390128.16355635,29.957254127740743,15920819.675786031,56.845858805962905,17689799.639762256,63.16206533995878,264687.66168423754,0.9450768082416451,264687.66168423754,0.9450768082416451,-7571994.494134917,-27.036078459438414,-49267731.05090008,-175.91220427357476,-21339523.176926006,-76.19353439113794,-85402187.62643726,-304.9315800565475,-432.2180652905529,5.4013603741921665,-80.02022367470637
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,44356,397143,22,284970,0.0005278494092093232,238923,0.0003829773059349585,284720,0.00038521549166613034,8763,89979,0.0023404210995251855,0.0025734096277592244,441499,0.0008082052137379682,188799,0.0029899164849190064,106162,0.002518946075353792,0.0,0.0,9091085.603320677,31.901904071729223,15275078.539647598,53.602409164640484,16972309.48849733,59.55823240515609,306381.8447479668,1.0751371889952164,306381.8447479668,1.0751371889952164,-7205546.9577258285,-25.28528251298673,-45147738.922276996,-158.4297958461487,-22936126.77534682,-80.48611003034291,-89926374.89013037,-315.56435726613455,-432.5527256360966,5.428364389233955,-79.68380429544783
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,42645,564576,26,270680,0.0006298801524457432,391385,0.000627363514116907,443384,0.0005998819385954465,5541,88680,0.001479889685321129,0.0025362580801041134,607221,0.001111574835030618,166813,0.0026417350653276457,124980,0.002965447905066944,0.0,0.0,14157213.750852538,52.302400439088736,21008764.382078677,77.61476423111674,23343071.535642978,86.23862692346304,501890.81129352556,1.8541850572392697,501890.81129352556,1.8541850572392697,-7101522.624291518,-26.235860145897437,-39890199.48644745,-147.37032468762914,-14502918.916147063,-53.579573356535626,-105866490.2108899,-391.1130863413991,-398.43468282331423,5.435111570858578,-73.30754440435047
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,59121,722401,43,322510,0.0008714652053667097,375091,0.0006012453412206005,438957,0.0005938923734732002,8199,76458,0.002189788040055574,0.0021867074908502515,781522,0.001430649118233392,146407,0.0023185753251210913,135026,0.003203813160742272,0.0,0.0,14015860.013967525,43.45868349498473,27039268.33461111,83.8400928176215,30043631.482901234,93.15565868624611,480996.2729764804,1.491415066126571,480996.2729764804,1.491415066126571,-6122780.974380705,-18.984778687112662,-35010487.409328476,-108.55628479528845,-21459922.792544626,-66.54033298981311,-114376129.83849911,-354.6436694629596,-325.28780080406835,7.857083501286782,-41.40057831265187
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,149581,1903640,170,312440,0.0025178522816780386,1317243,0.0021114508666042306,1601777,0.002167144263116392,10916,65643,0.0029154441084579394,0.0018773972615276763,2053221,0.0037586130821503213,115197,0.0018243179747414698,110991,0.0026335255915449288,0.0,0.0,51144604.609546855,163.6941640300437,71037787.25264107,227.36457320650706,78930874.72515675,252.62730356278567,1689160.6932833844,5.406352238136552,1689160.6932833844,5.406352238136552,-5256712.332277494,-16.824709807571033,-27547201.418596193,-88.16797279028356,-28571352.262887806,-91.44588485113239,-94016863.61815396,-300.91173863191,157.14843919471264,12.46416912047113,12.608015638732976
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,19556,284229,11,259380,0.00035970703136552776,218707,0.00035057243400223915,263775,0.0003568776914661194,6764,109344,0.00180652839406463,0.0031272508289456945,303785,0.0005561068560866246,278988,0.004418195119119189,78114,0.0018534405317362718,0.0,0.0,8422313.518600417,32.4709442462812,10510419.580037205,40.52131845183593,11678243.977819115,45.02368716870659,280457.94720179134,1.0812628082419282,280457.94720179134,1.0812628082419282,-8756302.321047945,-33.75858709633721,-66714746.29869976,-257.20852146927194,-17703978.261833373,-68.25498597360388,-66167826.9829849,-255.09995752557984,-494.14357658148526,3.938715398257383,-125.45805589307382
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,97990,807977,77,348970,0.0010709832949097394,462994,0.0007421478668192271,560905,0.0007588834481349776,8024,70000,0.002143049058837166,0.0020020079567804236,905967,0.001658457330310025,96852,0.0015337972732767419,97613,0.0023161007069715123,0.0,0.0,17909649.37598547,51.32145850928581,31344843.542859476,89.82102628552448,34827603.936510526,99.8011403172494,593718.2934553818,1.7013447959864223,593718.2934553818,1.7013447959864223,-5605622.2789851865,-16.06333575661285,-23160338.8264788,-66.36770732864946,-21001880.776604228,-60.18248209474805,-82684795.23888299,-236.939551362246,-135.20676183822383,9.095039688225349,-14.865989206541414
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,35519,299519,28,297640,0.0006327905537691762,434553,0.0006965588797476762,493933,0.0006682728415465255,4853,98116,0.0012961387191596171,0.0028061287526781145,335038,0.0006133183957389289,162105,0.002567176795363299,74237,0.0017614494809445888,0.0,0.0,15771239.060498003,52.98763291391615,11591717.679465756,38.94542964475795,12879686.310517507,43.27269960528661,557247.103798141,1.8722184645818472,557247.103798141,1.8722184645818472,-7857160.507498721,-26.39820087185432,-38764369.60998581,-130.2391130559932,-12702159.447764248,-42.67625133639379,-62883746.469721824,-211.27451441245069,-271.63788058356755,6.2569379115710255,-43.41386864031759
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,77017,546331,64,332810,0.0010648689607364013,673009,0.001078787616470497,827454,0.0011195142576605303,6472,77457,0.0017285410654030583,0.002215279004404875,623348,0.0011410968169194833,140285,0.002221624235757937,56410,0.0013384614844361203,0.0,0.0,26420536.480788518,79.38624584834746,21566729.839778233,64.80192854715374,23963033.155309148,72.00214283017081,863030.0931763975,2.593161543151941,863030.0931763975,2.593161543151941,-6202781.21233365,-18.63760467634281,-33546525.95994485,-100.79783047367823,-16939702.440949973,-50.89901878233819,-47783074.9943695,-143.57463716345512,-92.53245078383847,7.61892671494246,-12.145076891520842
