,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,LABOR_INC_PROP_PRE_ADJ,QUAL_DIVS_ALL_PROP_PRE_ADJ,BUS_INC_ALL_PROP_PRE_ADJ,CAP_GAIN_ALL_PROP_PRE_ADJ,S_CORP_INC_ALL_PROP_PRE_ADJ,TOTAL_CAPITAL_INCOME,WAGE_INCOME_RATIO,CAPITAL_INCOME_RATIO,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,Rw,Rc,CORP_REV_WEIGHT,CORP_REV_PROPORTION,CORP_RATE_TOTAL,CORP_RATE_PER_FILER,GILTI_CHANGES_TOTAL,GILTI_CHANGES_PER_FILER,REPEAL_FIDII_TOTAL,REPEAL_FIDII_PER_FILER,BOOK_TAX_TOTAL,BOOK_TAX_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,69615,717130,48,300380,0.0008778001411656528,443514,0.0007109227527882924,512655,0.0006936030060413741,7506,94549,0.002004701674430679,0.002704112147223318,786745,0.0014402103082504778,218251,0.003456333257856546,141538,0.0033583258568360146,0.0015492219825245861,0.0010073006301340437,0.0014867646036146721,0.0009284882897146787,0.0017098258360439373,2721897,0.0015492219825245861,0.001275693635979527,0.0,0.0,21362972.586074322,71.11982351046781,29668332.349959843,98.7693333442967,32692773.997285847,108.83805179201627,568738.2022306339,1.8933957062075835,568738.2022306339,1.8933957062075835,-7030691.582780627,-23.40599102064261,-52881898.84520515,-176.0499994846699,-21450307.916408267,-71.41057299556651,-129295545.48818657,-430.4399277188447,0.5,0.5,0.0014124578092520566,0.0014124578092520569,152262951.83737174,506.9010980670209,70764136.24352805,235.5820502148214,10169696.226614809,33.85610302488451,8757238.417362753,29.153866493650554,386.7006266398496,6676.79605832612,0.05791709425625258
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,38183,421980,12,280070,0.0005063436950877199,206409,0.00033085957710529695,262767,0.00035551390523543854,8153,94555,0.0021775023649924495,0.0027042837479053275,460163,0.0008423714114172504,206028,0.003262763645754972,100821,0.002392218140796562,0.001364226807264922,0.0007794602753547857,0.0010410856588922654,0.0005280519161016212,0.0010095630505803919,1689218,0.001364226807264922,0.0007916995582059368,0.0,0.0,10949828.281251507,39.09675538705147,17352851.075195357,61.958978381102426,19121831.039171584,68.27518491509831,264687.66168423754,0.9450768082416451,264687.66168423754,0.9450768082416451,-7031137.744553852,-25.104929998049958,-49920283.780051075,-178.24216724408566,-23299275.30541921,-83.19089979440572,-92100398.42066765,-328.8477824139238,0.5,0.5,0.0010779631827354294,0.0010779631827354296,116204431.09887931,414.91209732880816,54005955.45504502,192.83020478824943,7761334.915695093,27.71212523902986,6683371.7329596635,23.863218955831268,215.15293916118904,5401.360374192166,0.03983310208094892
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,44356,397143,22,284970,0.0005278494092093232,238923,0.0003829773059349585,284720,0.00038521549166613034,8763,89979,0.0023404210995251855,0.0025734096277592244,441499,0.0008082052137379682,188799,0.0029899164849190064,106162,0.002518946075353792,0.0014435599174653045,0.000731586661416335,0.0011063168034224217,0.0005617113630630497,0.0009647158560247798,1700599,0.0014435599174653045,0.0007970335841705794,0.0,0.0,11864637.143316815,41.63468836479915,16649027.403002145,58.42378988315312,18346258.351851877,64.37961312366873,306381.8447479668,1.0751371889952164,306381.8447479668,1.0751371889952164,-6690865.032173984,-23.47919090491625,-45745722.2192608,-160.52820373815067,-25042505.764919486,-87.87769156374175,-96979423.90112099,-340.3145029340667,0.5,0.5,0.001120296750817942,0.0011202967508179421,120767989.73817416,423.7919420927612,56126867.2159789,196.9571085236302,8066136.6058891835,28.30521320100075,6945839.855071241,24.373933589750646,227.81697401587886,5428.364389233954,0.041967885292981996
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,42645,564576,26,270680,0.0006298801524457432,391385,0.000627363514116907,443384,0.0005998819385954465,5541,88680,0.001479889685321129,0.0025362580801041134,607221,0.001111574835030618,166813,0.0026417350653276457,124980,0.002965447905066944,0.0013377544629544298,0.0006500985449458187,0.0012802655755558858,0.0006971307909865931,0.0012264083910183546,2038428,0.0013377544629544298,0.0009553666531108544,0.0,0.0,18476363.708739754,68.25906497982767,22898441.60163073,84.59598641063518,25232748.75519503,93.21984910298148,501890.81129352556,1.8541850572392697,501890.81129352556,1.8541850572392697,-6594271.008270695,-24.361870135476188,-40418546.49951298,-149.32224951792884,-15834819.632936079,-58.50014641989094,-114169744.34507735,-421.78862252503825,0.5,0.5,0.001146560558032642,0.0011465605580326423,123599228.15591884,456.6249008272456,57442683.95743538,212.21621086683678,8255236.017835024,30.4981380886472,7108675.459802382,26.26228557633509,321.4119173686533,5435.1115708585785,0.059136213337729185
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,59121,722401,43,322510,0.0008714652053667097,375091,0.0006012453412206005,438957,0.0005938923734732002,8199,76458,0.002189788040055574,0.0021867074908502515,781522,0.001430649118233392,146407,0.0023185753251210913,135026,0.003203813160742272,0.0019893956773856854,0.0010416743387201824,0.0015602767240895361,0.0008852659827035339,0.0014730300946637987,2558209,0.0019893956773856854,0.0011989766478325775,0.0,0.0,18291885.102974568,56.71726490023431,29471371.835607875,91.38126518746047,32475734.983898,100.69683105608507,480996.2729764804,1.491415066126571,480996.2729764804,1.491415066126571,-5685439.476210654,-17.628723066604614,-35474202.474352695,-109.994116381981,-23430732.028594643,-72.65117989704085,-123346806.68857747,-382.4588592247604,0.5,0.5,0.0015941861626091315,0.0015941861626091317,171853268.3292644,532.8618285611745,79868726.7467175,247.64728767082414,11478140.370785749,35.59002936586695,9883954.208176617,30.64696973171876,515.7914280352305,7857.083501286782,0.06564667766999772
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,149581,1903640,170,312440,0.0025178522816780386,1317243,0.0021114508666042306,1601777,0.002167144263116392,10916,65643,0.0029154441084579394,0.0018773972615276763,2053221,0.0037586130821503213,115197,0.0018243179747414698,110991,0.0026335255915449288,0.0023159341328701953,0.0025899834576854673,0.0023366352579510374,0.00209742135516126,0.0036791108313451613,5737450,0.0023159341328701953,0.0026890174212142255,0.0,0.0,66748043.30398488,213.63475644598924,77427429.49229662,247.8153549234945,85320516.9648123,273.07808527977306,1689160.6932833844,5.406352238136552,1689160.6932833844,5.406352238136552,-4881232.879971959,-15.62294482131596,-27912065.01354449,-89.33576050936016,-31195251.96049995,-99.84397631705271,-101390735.27447976,-324.51265930892254,0.5,0.5,0.0025024757770422106,0.002502475777042211,269766888.76515037,863.4198206540467,125374036.42981477,401.27396117595305,18017825.59470392,57.668114180975294,15515349.817661708,49.658653878062054,1588.046110057916,12464.16912047113,0.12740890264796806
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,19556,284229,11,259380,0.00035970703136552776,218707,0.00035057243400223915,263775,0.0003568776914661194,6764,109344,0.00180652839406463,0.0031272508289456945,303785,0.0005561068560866246,278988,0.004418195119119189,78114,0.0018534405317362718,0.0010965691577519972,0.0004912804922894509,0.0003171903450590665,0.0004209672254390099,0.0006206423464819617,1012238,0.0010965691577519972,0.00047441382781811524,0.0,0.0,10991832.897156477,42.37733401633309,11455801.235384466,44.16609312739789,12623625.633166377,48.66846184426855,280457.94720179134,1.0812628082419282,280457.94720179134,1.0812628082419282,-8130852.1552588055,-31.347259446598834,-67598385.3225236,-260.6152568529709,-19329853.81649154,-74.52330101199607,-71357460.47184646,-275.1077973315077,0.5,0.5,0.0007854914927850562,0.0007854914927850563,84675982.92222907,326.45532779022693,39353123.78853132,151.71996217338005,5655538.748052405,21.804066420126475,4870047.255267349,18.775723861775578,14.53588020691895,3938.7153982573827,0.0036905129559119967
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,97990,807977,77,348970,0.0010709832949097394,462994,0.0007421478668192271,560905,0.0007588834481349776,8024,70000,0.002143049058837166,0.0020020079567804236,905967,0.001658457330310025,96852,0.0015337972732767419,97613,0.0023161007069715123,0.0022387904791972796,0.0014048366277582,0.002365397166170516,0.0011595795529577395,0.0019075642312699184,3458674,0.0022387904791972796,0.0016210049133849865,0.0,0.0,23373610.20255731,66.97885263076284,34164221.004386514,97.90016621596847,37646981.39803757,107.8802802476934,593718.2934553818,1.7013447959864223,593718.2934553818,1.7013447959864223,-5205220.687629102,-14.915954631140504,-23467098.28113415,-67.24674980982363,-22930624.929557677,-65.70944473610247,-89169877.21840322,-255.5230455867359,0.5,0.5,0.0019298976962911331,0.0019298976962911333,208042971.66018417,596.1629127437435,96687874.58418578,277.0664371842444,13895263.41329616,39.817931092346505,11965365.717005027,34.28766288507616,820.1017378280056,9095.039688225348,0.09017022090510815
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,35519,299519,28,297640,0.0006327905537691762,434553,0.0006965588797476762,493933,0.0006682728415465255,4853,98116,0.0012961387191596171,0.0028061287526781145,335038,0.0006133183957389289,162105,0.002567176795363299,74237,0.0017614494809445888,0.0015056759962069001,0.0011675367400753181,0.0011613699583140895,0.001065419798662145,0.0008914792483532381,2213300,0.0015056759962069001,0.0010373253376279436,0.0,0.0,20582803.519632988,69.15335143002616,12634358.952221936,42.44845770804306,13922327.583273686,46.77572766857172,557247.103798141,1.8722184645818472,557247.103798141,1.8722184645818472,-7295934.7569630975,-24.5126150952933,-39277804.96905848,-131.96413442097324,-13868684.295007903,-46.59549890810342,-67815805.01636668,-227.84506456244682,0.5,0.5,0.001271500666917422,0.0012715006669174222,137067771.8936981,460.51529328617823,63702183.41256285,214.02426895767655,9154804.80180544,30.757978772360705,7883304.134888018,26.486037276199493,462.9882390414029,6256.937911571025,0.07399597783848767
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,77017,546331,64,332810,0.0010648689607364013,673009,0.001078787616470497,827454,0.0011195142576605303,6472,77457,0.0017285410654030583,0.002215279004404875,623348,0.0011410968169194833,140285,0.002221624235757937,56410,0.0013384614844361203,0.001713678871370835,0.0021833413506656177,0.0017419811016088018,0.0015443080329543325,0.0013249219413648287,3363355,0.001713678871370835,0.0015763309813119019,0.0,0.0,34481039.13594434,103.60577848004668,23506594.428541355,70.63067344292946,25902897.74407227,77.83088772594654,863030.0931763975,2.593161543151941,863030.0931763975,2.593161543151941,-5759725.411452675,-17.30634719946118,-33990850.80709644,-102.1329010759786,-18495389.399812724,-55.57341846643047,-51530767.15079063,-154.83539301941238,0.5,0.5,0.0016450049263413685,0.0016450049263413687,177331531.05959955,532.8311380655616,82414746.80970258,247.63302427722297,11844035.469657855,35.58797953684641,10199030.543316485,30.645204601173297,774.1029494547482,7618.92671494246,0.10160262441382394
