,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,TOTAL_DIST_POP,WAGE_PROPORTION,TOTAL_INC_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,ITEMIZED_DEDUCTIONS_PROPORTION,BUSINESS_DEDUCTIONS_PROPORTION,CTC,CDCTC,CTC_PROPORTION,CDCTC_PROPORTION,HOMEBUYER_CREDIT_TOTAL,HOMEBUYER_CREDIT_PROPORTION,PAYROLL_TOTAL,PAYROLL_PER_FILER,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,PEASE_LIMIT_TOTAL,PEASE_LIMIT_PER_FILER,CAPITAL_GAINS_AND_DIVIDENDS_TOTAL,CAPITAL_GAINS_AND_DIVIDENDS_PER_FILER,ITEMIZED_LIMIT_TOTAL,ITEMIZED_LIMIT_PER_FILER,BUSINESS_DEDUCTION_TOTAL,BUSINESS_DEDUCTION_PER_FILER,CTC_TOTAL,CTC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,HOMEBUYER_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,NET_TAX_CHANGE_TOTAL
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,300380,0.0008180912861045837,0.0008778001411656528,512655,0.0006936030060413741,0.001053393993649064,0.00151382339784002,147541,7506,0.0018371945370368387,0.002004701674430679,-12248773.906959876,0.001020731158913323,59884282.142855525,199.36174892754352,22032783.543257885,73.34970218808803,14220362.286883576,47.34124204968232,9849162.685787512,32.789009540540356,24965437.649482816,83.11284922259411,45263319.5954166,150.6868619595732,-193824023.65738648,-645.2627460462963,-12028210.046584075,-40.04331196013075,-40.77759473653331,-139.44223885493884,-41885659.70724654
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,280070,0.0004406002526995357,0.0005063436950877199,262767,0.00035551390523543854,0.0006704583192147311,0.0009194939468228909,134804,8153,0.0016785922040023723,0.0021775023649924495,-8647486.889632372,0.0007206239074693644,32251938.497606013,115.1567054579427,12709226.746701771,45.37875083622584,8202767.860421063,29.28827743214576,5048297.454343228,18.025127483640617,15889862.165389128,56.735323902556964,27492869.01000444,98.16427682366708,-177091477.52225026,-632.3114847082882,-13065014.189954696,-46.649102688451805,-30.876162708010042,-347.0882881685709,-97209016.86737171
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,284970,0.00048722047594633065,0.0005278494092093232,284720,0.00038521549166613034,0.0007354406355618143,0.0008849171510996112,146592,8763,0.0018253774989548956,0.0023404210995251855,-11152973.623815691,0.0009294144686513076,35664538.839271404,125.15190665428432,13249020.171154011,46.492684040965756,8551160.429191034,30.00723033719702,5470059.981659051,19.19521346688792,17429943.062815,61.164133287065305,26459022.817878373,92.84845007501973,-192577326.13974148,-675.7810511272818,-14042526.597151114,-49.27721022265892,-39.1373605074769,-389.33600399599754,-110949081.05873942
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,270680,0.00046294179704767414,0.0006298801524457432,443384,0.0005998819385954465,0.0010358111213589498,0.0010466952874740437,144711,5541,0.0018019551084047008,0.001479889685321129,-7408960.142817973,0.0006174133452348311,33887339.543889746,125.19336317382054,15809991.826388154,58.40842258899126,10204058.46962104,37.69786637217763,8518323.52805534,31.470088399790676,24548723.57620711,90.69278696692444,31296189.095473908,115.62061879516,-190106263.93669593,-702.3284466406677,-8879338.111926774,-32.80382042236875,-27.371657096268557,-303.42077786244045,-82129936.15180539
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,322510,0.0009056748993843474,0.0008714652053667097,438957,0.0005938923734732002,0.0009601795907083185,0.0016869804709377784,179331,8199,0.0022330466346395465,0.002189788040055574,-16012256.4541501,0.0013343547045125083,66295402.634934224,205.56076597604485,21873776.654704414,67.82356098944037,14117736.326940697,43.77456924418063,8433271.703319443,26.14886888257556,22756256.29978715,70.55984713586291,50440716.08103957,156.4004715544931,-235586419.95447215,-730.4778765138202,-13138728.240333445,-40.738979381518234,-49.64886810998139,-250.5976402227224,-80820244.94823024
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,312440,0.002484851004545435,0.0025178522816780386,1601777,0.002167144263116392,0.0033079321526396717,0.003966666997920158,199788,10916,0.0024877791404797037,0.0029154441084579394,-27830049.6656112,0.0023191708054676,181891093.53272584,582.1632746534561,63198092.27011877,202.27273162885282,40789206.96318422,130.55052798356235,30773448.536252767,98.49394615367036,78397992.01756021,250.92175143246772,118603343.23781271,379.60358224879246,-262460699.32060874,-840.0355246466801,-17492664.650747634,-55.98727643946881,-89.07326099606709,658.9097520185859,205869762.92068696
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,259380,0.00025928468117455825,0.00035970703136552776,263775,0.0003568776914661194,0.0004427223533530415,0.0007247624096977064,94312,6764,0.0011743819763795713,0.00180652839406463,-6699529.781199094,0.0005582941484332579,18979638.661977664,73.17309993822833,9028646.487274747,34.80856846046244,5827253.9081215495,22.466088010338304,5067663.2188188955,19.53760204649123,10492519.774467083,40.45230848356497,21670396.04996142,83.5469043486831,-123897298.50804478,-477.6671235563451,-10839170.36438778,-41.78876692261462,-25.829014500729023,-271.30033369192034,-70369880.55301028
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,348970,0.0009703164788456628,0.0010709832949097394,560905,0.0007588834481349776,0.0006709127839543289,0.0015601129124305098,217974,8024,0.002714232938749689,0.002143049058837166,-18850187.998462223,0.0015708489998718519,71027166.25150251,203.53373141388232,26881680.70223446,77.03149469075983,17349929.37753778,49.71753840598842,10776144.963516682,30.879860628468585,15900632.979717596,45.56446966707051,46647376.081672244,133.6715937807612,-286351575.0380922,-820.5621544490707,-12858294.353022996,-36.846417609029416,-54.01664326005738,-371.0265267312266,-129477127.03339612
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,297640,0.0004954060370406837,0.0006327905537691762,493933,0.0006682728415465255,0.0005345610792441937,0.0007185722681202171,172865,4853,0.002152531388867319,0.0012961387191596171,-15429445.055394687,0.0012857870879495572,36263721.91137804,121.8375282602407,15883042.899606323,53.36326736865449,10251206.971060654,34.44163073196027,9489474.349960662,31.88238929566141,12669097.578087391,42.56517127431592,21485310.816794492,72.18556248083084,-227092061.52550215,-762.9756132425149,-7776832.3149577025,-26.128317144730893,-51.83928590039876,-484.6676668759809,-144256484.368967
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,332810,0.0009314636980990793,0.0010648689607364013,827454,0.0011195142576605303,0.0012365432837069712,0.0011151964865484657,149918,6472,0.00186679316666885,0.0017285410654030583,-17448835.428275276,0.0014540696190229398,68183142.7008526,204.8710756913933,26728210.914483674,80.31072057475339,17250877.1639297,51.83401088888465,15897102.45877953,47.76630046807347,29306075.823855218,88.05647613910405,33344374.947799124,100.19042380877715,-196946679.0835637,-591.7691147608656,-10371246.39241835,-31.162664560615212,-52.42881953149027,-102.33159128198503,-34056976.894557446
