,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,LABOR_INC_PROP_PRE_ADJ,QUAL_DIVS_ALL_PROP_PRE_ADJ,BUS_INC_ALL_PROP_PRE_ADJ,CAP_GAIN_ALL_PROP_PRE_ADJ,S_CORP_INC_ALL_PROP_PRE_ADJ,TOTAL_CAPITAL_INCOME,WAGE_INCOME_RATIO,CAPITAL_INCOME_RATIO,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,Rw,Rc,CORP_REV_WEIGHT,CORP_REV_PROPORTION,CORP_RATE_TOTAL,CORP_RATE_PER_FILER,GILTI_CHANGES_TOTAL,GILTI_CHANGES_PER_FILER,REPEAL_FIDII_TOTAL,REPEAL_FIDII_PER_FILER,BOOK_TAX_TOTAL,BOOK_TAX_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,69615,717130,48,300380,0.0008778001411656528,443514,0.0007109227527882924,512655,0.0006936030060413741,7506,94549,0.002004701674430679,0.002704112147223318,786745,0.0014402103082504778,218251,0.003456333257856546,141538,0.0033583258568360146,0.0015492219825245861,0.0010073006301340437,0.0014867646036146721,0.0009284882897146787,0.0017098258360439373,2721897,0.0015492219825245861,0.001275693635979527,27124024.36201867,90.29903576143109,13109096.81418197,43.64170988142343,24195533.178608026,80.54974758175653,0.0,0.0,497645.9269518047,1.6567212429316356,497645.9269518047,1.6567212429316356,-267166280.14566383,-889.4276587844191,-41821632.4200642,-139.22908455977162,-18042315.069876112,-60.06496794019613,-110824753.27558848,-368.9485094732954,0.4,0.6,0.0013851049745975505,0.0013851049745975505,122443279.75442347,407.62793712771645,89616291.85646152,298.34307163080604,17867854.1723084,59.48416729578667,24377847.55291689,81.15669336479422,-393.25441562810454,6676.79605832612,-0.05889867118791312
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,38183,421980,12,280070,0.0005063436950877199,206409,0.00033085957710529695,262767,0.00035551390523543854,8153,94555,0.0021775023649924495,0.0027042837479053275,460163,0.0008423714114172504,206028,0.003262763645754972,100821,0.002392218140796562,0.001364226807264922,0.0007794602753547857,0.0010410856588922654,0.0005280519161016212,0.0010095630505803919,1689218,0.001364226807264922,0.0007916995582059368,15646020.178210545,55.86467732427802,6719212.808949788,23.991190805690678,14151839.711809807,50.52965227196703,0.0,0.0,231601.70397370786,0.8269422072114395,231601.70397370786,0.8269422072114395,-267183234.29304636,-953.9873399258984,-39479440.11363516,-140.9627597159109,-19597521.284932043,-69.9736540326777,-78943198.64628655,-281.86952778336325,0.4,0.6,0.001020710457829531,0.001020710457829531,90230804.47213054,322.17233003224385,66039966.621570654,235.79807412993415,13167164.90600095,47.01383549113061,17964504.057799745,64.14290733673633,-645.6267296514466,5401.360374192166,-0.11953039325727406
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,44356,397143,22,284970,0.0005278494092093232,238923,0.0003829773059349585,284720,0.00038521549166613034,8763,89979,0.0023404210995251855,0.0025734096277592244,441499,0.0008082052137379682,188799,0.0029899164849190064,106162,0.002518946075353792,0.0014435599174653045,0.000731586661416335,0.0011063168034224217,0.0005617113630630497,0.0009647158560247798,1700599,0.0014435599174653045,0.0007970335841705794,16310546.744568085,57.236013420949874,7280572.792489863,25.54855876930857,13577847.590797866,47.64658592412488,0.0,0.0,268084.11415447097,0.9407450403708144,268084.11415447097,0.9407450403708144,-254252871.22261137,-892.2092543868174,-36177989.467519976,-126.95367746611916,-21063789.89572667,-73.91581533398838,-83125220.48667513,-291.6981453720572,0.4,0.6,0.0010556441174884694,0.0010556441174884694,93318939.98598069,327.46934760143415,68300174.40150397,239.67496368566503,13617809.115601255,47.78681656174774,18579336.46779706,65.1975171695163,-572.335599345494,5428.364389233954,-0.10543426312364072
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,42645,564576,26,270680,0.0006298801524457432,391385,0.000627363514116907,443384,0.0005998819385954465,5541,88680,0.001479889685321129,0.0025362580801041134,607221,0.001111574835030618,166813,0.0026417350653276457,124980,0.002965447905066944,0.0013377544629544298,0.0006500985449458187,0.0012802655755558858,0.0006971307909865931,0.0012264083910183546,2038428,0.0013377544629544298,0.0009553666531108544,19463296.710573465,71.90518956174621,11337768.639453938,41.8862444194397,18674457.22851438,68.99090153877043,0.0,0.0,439154.45988183486,1.6224119250843612,439154.45988183486,1.6224119250843612,-250582298.3142864,-925.7510651480952,-31964994.290464513,-118.09145223313327,-13319007.16789016,-49.205730633553124,-97859780.86720915,-361.5331050214613,0.4,0.6,0.0011083217770482844,0.0011083217770482844,97975645.09106834,361.9611537279014,71708418.975024,264.9195321967785,14297350.923922868,52.82012311187701,19506463.276049808,72.0646640906229,-516.7887205389382,5435.1115708585785,-0.0950833692742947
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,59121,722401,43,322510,0.0008714652053667097,375091,0.0006012453412206005,438957,0.0005938923734732002,8199,76458,0.002189788040055574,0.0021867074908502515,781522,0.001430649118233392,146407,0.0023185753251210913,135026,0.003203813160742272,0.0019893956773856854,0.0010416743387201824,0.0015602767240895361,0.0008852659827035339,0.0014730300946637987,2558209,0.0019893956773856854,0.0011989766478325775,26928274.84583133,83.49593763241863,11224565.858643483,34.80377618878014,24034905.186320987,74.5245269489969,0.0,0.0,420871.7388544204,1.3049881828607497,420871.7388544204,1.3049881828607497,-216046700.09600484,-669.8914765309753,-28054761.433965206,-86.98881099490002,-19708092.360500168,-61.10846907227735,-105725834.30449498,-327.8218793355089,0.4,0.6,0.0015151442596538207,0.0015151442596538207,133938752.55339776,415.30108385289685,98029833.59960221,303.9590511909777,19545360.949534286,60.60389119572815,26666538.969907247,82.68437868564462,-87.82801387249711,7857.083501286782,-0.011178195300853453
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,149581,1903640,170,312440,0.0025178522816780386,1317243,0.0021114508666042306,1601777,0.002167144263116392,10916,65643,0.0029154441084579394,0.0018773972615276763,2053221,0.0037586130821503213,115197,0.0018243179747414698,110991,0.0026335255915449288,0.0023159341328701953,0.0025899834576854673,0.0023366352579510374,0.00209742135516126,0.0036791108313451613,5737450,0.0023159341328701953,0.0026890174212142255,77801635.5038514,249.0130441167949,40959026.57289981,131.09405509185703,63144699.7801254,202.10184285022854,0.0,0.0,1478015.6066229613,4.730558208369483,1478015.6066229613,4.730558208369483,-185486849.43893442,-593.6719032100065,-22074247.494371787,-70.65115700413452,-26238996.976121455,-83.98091465920322,-86906344.52098265,-278.15370797907644,0.4,0.6,0.0025397841058766133,0.0025397841058766133,224516914.95949262,718.5920975531066,164324031.65021688,525.937881353914,32763214.96580831,104.86242147550989,44700200.26342839,143.0681099200755,1057.6728859258048,12464.16912047113,0.08485707115355846
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,19556,284229,11,259380,0.00035970703136552776,218707,0.00035057243400223915,263775,0.0003568776914661194,6764,109344,0.00180652839406463,0.0031272508289456945,303785,0.0005561068560866246,278988,0.004418195119119189,78114,0.0018534405317362718,0.0010965691577519972,0.0004912804922894509,0.0003171903450590665,0.0004209672254390099,0.0006206423464819617,1012238,0.0010965691577519972,0.00047441382781811524,11114947.269194808,42.85198268638603,6744988.368709656,26.004273146386215,9342595.182255292,36.018949734965275,0.0,0.0,245400.7038015674,0.9461049572116871,245400.7038015674,0.9461049572116871,-308972381.89983463,-1191.1958589707558,-53460160.94134219,-206.10749071378746,-16258755.54658167,-62.683150383921934,-61163537.54729697,-235.8066834270066,0.4,0.6,0.000723275959791668,0.000723275959791668,63937594.845583454,246.50163792730146,46795954.59852092,180.4146603381946,9330259.881312517,35.97139286495689,12729656.892333357,49.07724918009622,-1077.0608277027616,3938.7153982573827,-0.2734548498170974
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,97990,807977,77,348970,0.0010709832949097394,462994,0.0007421478668192271,560905,0.0007588834481349776,8024,70000,0.002143049058837166,0.0020020079567804236,905967,0.001658457330310025,96852,0.0015337972732767419,97613,0.0023161007069715123,0.0022387904791972796,0.0014048366277582,0.002365397166170516,0.0011595795529577395,0.0019075642312699184,3458674,0.0022387904791972796,0.0016210049133849865,33093383.81271095,94.83160103364457,14342897.169751076,41.1006595688772,27862083.149208423,79.84091225379953,0.0,0.0,519503.506773459,1.4886766964881193,519503.506773459,1.4886766964881193,-197798386.12990585,-566.8062759833391,-18558947.006648578,-53.182070111036985,-19287441.529534496,-55.26962641354413,-76431323.3300599,-219.01975336005933,0.4,0.6,0.0018681191397099037,0.0018681191397099037,165141731.9503555,473.2261568339843,120867308.33923078,346.35443831627583,24098736.90225776,69.05675818052485,32878896.858894303,94.21697240133622,307.32712611343914,9095.039688225348,0.03379063056880467
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,35519,299519,28,297640,0.0006327905537691762,434553,0.0006965588797476762,493933,0.0006682728415465255,4853,98116,0.0012961387191596171,0.0028061287526781145,335038,0.0006133183957389289,162105,0.002567176795363299,74237,0.0017614494809445888,0.0015056759962069001,0.0011675367400753181,0.0011613699583140895,0.001065419798662145,0.0008914792483532381,2213300,0.0015056759962069001,0.0010373253376279436,19553228.111467544,65.69422158133162,12630356.705229333,42.43501110478878,10303749.048414005,34.61815968422929,0.0,0.0,487591.21582337335,1.6381911565091163,487591.21582337335,1.6381911565091163,-277245520.7645977,-931.4793736211454,-31062839.22389592,-104.36379258129256,-11665248.472436555,-39.19247571709634,-58127832.87117143,-195.2957696249544,0.4,0.6,0.0012246656010595262,0.0012246656010595262,108260439.1336621,363.7294689344917,79235864.38855134,266.2137628966246,15798186.253667887,53.07816910921881,21554114.578647662,72.41672684668613,-368.8695090740995,6256.937911571025,-0.058953678986001276
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,77017,546331,64,332810,0.0010648689607364013,673009,0.001078787616470497,827454,0.0011195142576605303,6472,77457,0.0017285410654030583,0.002215279004404875,623348,0.0011410968169194833,140285,0.002221624235757937,56410,0.0013384614844361203,0.001713678871370835,0.0021833413506656177,0.0017419811016088018,0.0015443080329543325,0.0013249219413648287,3363355,0.001713678871370835,0.0015763309813119019,32904450.8867548,98.86857632509479,21158819.469784025,63.57627315821047,19170426.52424732,57.60171426413665,0.0,0.0,755151.3315293478,2.2690163502579486,755151.3315293478,2.2690163502579486,-218869565.63520166,-657.6411935795248,-26881653.25267104,-80.77177143917262,-15556869.588627525,-46.743996840922826,-44169228.98639197,-132.71605115949632,0.4,0.6,0.0016312701373354752,0.0016312701373354752,144204280.14045602,433.29311060501794,105543177.88560525,317.12742371204365,21043384.77162763,63.229424511365735,28710354.417104363,86.26650165891759,206.62804391618602,7618.92671494246,0.027120361127892345
