,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,TOTAL_DIST_POP,WAGE_PROPORTION,TOTAL_INC_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,ITEMIZED_DEDUCTIONS_PROPORTION,BUSINESS_DEDUCTIONS_PROPORTION,CTC,CDCTC,CTC_PROPORTION,CDCTC_PROPORTION,HOMEBUYER_CREDIT_TOTAL,HOMEBUYER_CREDIT_PROPORTION,PAYROLL_TOTAL,PAYROLL_PER_FILER,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,PEASE_LIMIT_TOTAL,PEASE_LIMIT_PER_FILER,CAPITAL_GAINS_AND_DIVIDENDS_TOTAL,CAPITAL_GAINS_AND_DIVIDENDS_PER_FILER,ITEMIZED_LIMIT_TOTAL,ITEMIZED_LIMIT_PER_FILER,BUSINESS_DEDUCTION_TOTAL,BUSINESS_DEDUCTION_PER_FILER,CTC_TOTAL,CTC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,HOMEBUYER_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,NET_TAX_CHANGE_TOTAL
350,CA,10,9,1470,521485,1588154,89035,420924,100896,95490,324160,0.0005799004656009646,0.000719403191193038,509959,0.0006899554190593149,0.0006196442481953789,0.0014487662236138577,233501,6422,0.0029075766166193726,0.0017151870707692275,-38091487.70990101,0.0026269991524069665,47145907.853358425,145.4402389355825,21869857.012268357,67.4662420171161,14172242.86650285,43.71990025451274,27253239.05284294,84.07341761118873,17907718.77284645,55.24345623410183,51865830.805376105,160.00071201066172,0.0,0.0,-12349346.909538439,-38.096455175032204,-117.50829130645673,400.3392205816747,129773961.74375567
360,CA,11,9,11270,6977734,14540660,448308,3704008,1131563,327833,367240,0.007759362580783111,0.00658663908289307,4152316,0.005617927962535613,0.006949398434236318,0.004973854617090814,209755,9363,0.002611889170577413,0.002500669035131155,-119315608.98182726,0.00822866268840188,630836177.817667,1717.7763256117717,200233828.11994934,545.2397018841884,129756789.93299349,353.3296752341615,221908154.5201567,604.259216098891,200837614.74942958,546.8838218860407,178063995.29185113,484.8709162723318,0.0,0.0,-18004817.052944317,-49.02738550523995,-324.8981836995623,3878.4340877825825,1424316134.3972757
370,CA,12,9,18530,14990888,33609635,2160227,12365031,2565053,438599,424320,0.016670130360359192,0.015224517694022888,14525258,0.01965212981893577,0.015753055995939395,0.006654387023885374,109751,6986,0.0013666298698960294,0.0018658201302388388,-88891618.47479452,0.006130456446537553,1355281598.2972023,3194.008291612939,462825337.89829576,1090.745988636632,299922998.5722509,706.8321044783439,776259127.847963,1829.4191361424466,455263318.2826485,1072.9244869029235,238227055.4550964,561.4325401939489,0.0,0.0,-13433904.93771964,-31.659843838894325,-209.49193645077895,8214.210767677561,3485453912.940943
380,CA,13,9,7700,4371422,8535136,391039,2132236,611853,153566,374460,0.00486109792829765,0.0038662523128528987,2523275,0.0034138965289893753,0.003757643436717879,0.0023298903958056936,164668,8617,0.0020504615667833494,0.0023014274351943996,-81154646.0025951,0.005596872138110007,395207261.5705989,1055.4058152288599,117534070.31072812,313.8761691788926,76165170.5632021,203.4000175271113,134848912.89508033,360.11566761491304,108595895.32114671,290.00666378557577,83410076.16984384,222.74762636822047,0.0,0.0,-16570277.533399677,-44.251128380600534,-216.7244725807699,2184.5763587422025,818036463.2946053
390,CA,14,9,15000,10801804,19590855,1219249,5363219,1141434,251952,384620,0.012011795485834418,0.008874280205320193,6582468,0.008905832561803068,0.007010020345649422,0.0038225944870872207,191980,9676,0.0023905531833207875,0.0025842650415389356,-123490725.7153951,0.008516601773475524,976558972.9983382,2539.022861521341,269778118.24173385,701.4146904522225,174823320.0448078,454.5351776943679,351780386.1912212,914.6180286808309,202589587.9892683,526.726608052801,136848882.6377225,355.80282522417576,0.0,0.0,-18606708.299080335,-48.37686105527621,-321.0720339956193,5122.671296574844,1970281834.0886164
400,CA,15,9,9390,6386352,8761870,156921,1265057,414122,161758,373340,0.007101735425355766,0.003968958450388655,1421978,0.001923882953106282,0.0025432952282664,0.002454178728655675,269356,11256,0.003354046480084144,0.003006251271967989,-131129958.92318834,0.009043445442978507,577371090.0814238,1546.5020894665017,120656336.89181511,323.1808455879764,78188481.4726565,209.42969270010312,75993376.64769815,203.55005262682315,73501232.09689896,196.87478463839653,87859598.48587316,235.33400783702032,0.0,0.0,-21645009.158169523,-57.976667804600424,-351.2346893533732,2305.6601156988477,860795147.5950078
410,CA,16,9,640,149958,1089712,56251,208083,69489,45691,279220,0.00016675592590503936,0.0004936185598382448,264334,0.0003576339975206339,0.0004267608147285193,0.000693219997100647,177564,4935,0.0022110437829105756,0.0013180392703590997,-12790388.621586729,0.0008820957670059812,13557256.776079701,48.554031860467376,15006004.219082642,53.742583694157446,9724285.628813423,34.82660851233229,14126542.902065039,50.592876234027074,12333387.545654207,44.170860058929186,24817275.89620316,88.88072450470295,0.0,0.0,-9489882.746585518,-33.987116777399606,-45.80756615423941,240.9730019329773,67284481.59972592
420,CA,17,9,15010,11703638,14447081,272510,2318045,1015919,105313,372800,0.01301465070984811,0.006544249597220614,2590555,0.003504923848037202,0.00623918059172218,0.0015977999508581652,221665,10394,0.0027601936211105447,0.002776028404480746,-101732188.3810504,0.007016012991796578,1058091102.7106514,2838.227206841876,198945187.75550666,533.6512547089771,128921717.0652461,345.8200565054885,138444491.99746948,371.3639806799074,180312319.100771,483.6703838539995,57201238.24072231,153.43679785601478,0.0,0.0,-19987404.512261372,-53.614282489971494,-272.88677140839695,4399.668626547895,1640196463.977055
430,CA,18,9,34210,33426430,62997391,2780596,23781011,6683329,509013,362210,0.03717077637971955,0.028536605469139376,26561607,0.035936859019203175,0.04104509964366648,0.0077227022911337375,179685,9907,0.0022374546762422946,0.0026459604967472338,-154953121.86184594,0.010686422197368685,3021984119.6711993,8343.182462304187,867512806.261837,2395.054819750523,562171127.7420458,1552.0585509567536,1419505931.2585254,3919.013641971578,1186203379.7019613,3274.9051094722986,276472742.0225878,763.2940615184224,0.0,0.0,-19050915.576580085,-52.596326927970196,-427.7991271965046,19767.11319184929,7159846069.21973
440,CA,19,9,7400,5026855,7480909,126800,1344927,396106,133558,356020,0.005589950919026505,0.0033887077749542673,1471727,0.0019911914860330114,0.0024326514884205393,0.00202633070785862,222447,7669,0.0027699311593403437,0.0020482356969369676,-101364841.06781478,0.006990678694332054,454463009.7168549,1276.5097739364498,103016716.35860972,289.35654277459054,66757543.166599065,187.51065436379716,78652063.69830395,220.92035194175594,70303628.01535359,197.47100728990952,72542639.3413386,203.7600116323201,0.0,0.0,-14747297.017946167,-41.42266450746072,-284.71670430822644,2049.3889731231357,729623462.211299
450,CA,20,9,3660,1735837,4593129,237968,1314811,336999,182922,340540,0.0019302811864337069,0.002080599022614487,1552779,0.002100851805050022,0.0020696508483745092,0.002775277151072302,212819,7634,0.002650042389421537,0.002038887900693286,-63588403.81798659,0.004385407159861144,156931860.45706037,460.83238520309027,63250210.2874804,185.73503931250485,40987800.74550539,120.36119323869558,82983646.29947586,243.68252275643349,59812909.51802332,175.64136230111976,99354922.0083884,291.7569801150772,0.0,0.0,-14679992.88499166,-43.10798404002954,-186.7281488752763,1248.1733500116154,425052952.61295545
460,CA,21,9,450,96874,529497,90778,131316,38956,33988,257290,0.000107725586938508,0.00023985194856867792,222094,0.00030048486023495906,0.00023924497832123354,0.0005156630684698691,172389,5418,0.002146604191683963,0.0014470388585219051,-9038047.095787842,0.0006233135928129546,8758090.2181007,34.03976142912939,7291499.236487809,28.339613807329506,4725083.386802955,18.364815526460237,11869151.979280883,46.131415831477646,6914179.873483649,26.873099900826496,18460737.85122131,71.75070096475305,0.0,0.0,-10418679.781357717,-40.49391651971595,-35.127859985960754,149.8776309542996,38562015.66823175
470,CA,22,9,2360,841596,2418148,121887,476730,189165,131340,320650,0.0009358695115830933,0.0010953744964134855,598617,0.000809906371082832,0.0011617408441353357,0.0019926793989888374,216018,8184,0.002689876641080268,0.0021857818416654248,-32966142.23172995,0.0022735270504641346,76086191.29170547,237.28735784096514,33299384.69096996,103.84963259307644,21578877.579345666,67.29729480538177,31991301.657771863,99.7701595439634,33574310.3955112,104.70703382351849,71337922.48380038,222.47909709590016,0.0,0.0,-15737629.25999106,-49.0803968813069,-102.81036092852004,683.4998178929784,219164216.60738355
