,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
190,AZ,9,9,3910,1960242,4997824,179931,1503259,386789,173963,148411,1493312,121,361170,0.0022639180675307017,1503259,0.0024096218528248843,1683190,0.0022772930016068905,7570,76122,0.0020217947875619826,0.0021770978526577055,1641723,0.003005327504962725,127583,0.002020468937311223,62395,0.0014804698514694508,66332799.37864956,183.66087819766193,36892146.62603163,102.14620989016704,47784707.32890733,132.30530589170567,0.0,0.0,1686735.296977419,4.67019768246925,1686735.296977419,4.67019768246925,-218145204.8363021,-603.99591559737,-24447674.141465798,-67.69021275705568,-17387435.17303305,-48.14196963488953,-46782847.306434646,-129.53137665485684,-421.9066852996989,10.516889553395908,-40.1170596265761
210,AR,1,9,930,271515,764804,27002,132245,51311,36908,36773,247602,15,268720,0.00034644149008043317,132245,0.00021197973331729718,159247,0.00021545522408456116,5851,99114,0.0015626844520508797,0.00283467166611907,284375,0.0005205750356325489,201543,0.00319173691661519,42461,0.001007488266098956,10150735.659356693,37.774395874355065,3490374.630169891,12.988890407003167,8277143.0665575275,30.80211025066064,0.0,0.0,148385.81332210804,0.5521948992338048,148385.81332210804,0.5521948992338048,-284034100.9451308,-1056.9890627609811,-38620016.6910438,-143.7184306752151,-13439086.287637565,-50.011485143039465,-31836629.20872701,-118.47510125307758,-1286.5242935018268,4.535672819291456,-283.6457444703435
220,AR,2,9,2410,1060632,2718098,141946,706980,204613,108010,39233,778790,83,324180,0.0012312460725946064,706980,0.0011332408171247515,848926,0.0011485650691140817,9427,95402,0.0025177621482624585,0.0027285080441823706,818023,0.0014974676127410796,180762,0.0028626384866812294,42701,0.0010131828372080618,36075509.927021965,111.28234291758272,18606754.119648125,57.39636658537888,23809735.042583164,73.44603319940515,0.0,0.0,793268.571987326,2.4470003454479796,793268.571987326,2.4470003454479796,-273396506.02707356,-843.3478500434128,-34637925.68884288,-106.8478181530103,-21652754.475057144,-66.79238224152367,-32016577.655774754,-98.76173007518895,-868.731037119873,7.656228021469554,-113.46723669720679
230,AR,3,9,2640,1348979,6859916,3313371,1874092,1922533,107782,53222,658609,104,343660,0.0031074098996169016,1874092,0.0030040419098799963,5187463,0.007018443067030273,9101,105854,0.0024306941032498815,0.0030274364322433562,711831,0.00130307322440212,175473,0.0027788792067658876,52115,0.0012365523889627443,91047110.05877522,264.9336846265938,113698777.68589042,330.84670222280863,20718864.267993707,60.28884440433483,0.0,0.0,2102829.3369159973,6.118923752883656,2102829.3369159973,6.118923752883656,-303349130.51078427,-882.7013051003441,-33624438.40186724,-97.84216493588791,-20903969.28794898,-60.82747275780999,-39075055.49122272,-113.70265812495698,-486.76652215949457,10.533733923063492,-46.21025419046562
240,AR,4,9,810,263387,741408,42439,106116,54586,42275,21852,233425,0,273600,0.0003358435524363808,106116,0.00017009672487200504,148555,0.00020098934870912472,4905,97926,0.001310026873578801,0.002800694731081139,255277,0.00046730842504147754,196516,0.003112126801256063,44769,0.0010622510582648584,9840216.086385958,35.96570207012412,3256027.4490878205,11.900685120935016,7430203.958159493,27.15717820964727,0.0,0.0,119067.70741040353,0.4351889890731123,119067.70741040353,0.4351889890731123,-280629612.0543301,-1025.6930265143644,-37656734.295198366,-137.63426277484783,-11266231.11277769,-41.17774529524009,-33567133.44116952,-122.68689123234475,-1251.2979824379445,4.449656432748538,-281.21226916052524
260,CA,1,9,1640,400463,1616364,70428,597795,105525,75992,70374,402979,36,294080,0.0007321817781710991,597795,0.0009582246941541356,668223,0.0009040806809764561,4451,64780,0.0011887726023036174,0.0018527153634319404,473353,0.0008665169401029411,107445,0.0017015533806965218,151213,0.00358788825467185,21452926.100413203,72.94928625004489,14646107.03181859,49.803138709938075,13777619.347636765,46.8499025694939,0.0,0.0,670757.285907895,2.2808667230273905,670757.285907895,2.2808667230273905,-185642079.4158804,-631.2638717895825,-20588795.906427912,-70.01086747289143,-10223444.37981111,-34.76416070392788,-113377268.84763046,-385.5320621859033,-947.4069011767734,7.024727965179543,-134.86741491954115
270,CA,2,9,10780,5972419,15552143,821897,5356364,945313,337899,515427,2869575,653,335990,0.007044821411582547,5356364,0.008585886893798413,6178261,0.008358955636262566,7307,46534,0.0019515527757880326,0.001330877689440289,3385002,0.006196562766650547,69107,0.0010944134159783566,148209,0.00351661120628954,206413267.35936862,614.3434845065883,135415081.30745357,403.033070351658,98525347.9897437,293.23892969952584,0.0,0.0,6010120.8256588895,17.887796736982914,6010120.8256588895,17.887796736982914,-133353944.48191696,-396.89855198641914,-13242402.333338115,-39.4130847148371,-16783353.87177708,-49.95194461673586,-111124914.11874945,-330.7387544830187,529.3887422307271,23.061775648084765,22.955246391649453
280,CA,3,9,1770,546942,1638316,76234,381201,106930,83622,70231,465442,64,322700,0.0007421256116110991,381201,0.0006110392553237325,457435,0.0006188924151106221,7199,77923,0.001922708147378958,0.0022286066573742993,535673,0.0009805995290106174,115028,0.001821641605237652,106600,0.0025293386676279103,21744280.420205202,67.3823378376362,10026057.124792079,31.069281452717938,15591532.511268817,48.315873911586046,0.0,0.0,427727.47872661275,1.325464762090526,427727.47872661275,1.325464762090526,-223306387.0689048,-691.9937622215829,-22041863.423375588,-68.3045039460043,-16535290.06745904,-51.24044024623192,-79927101.89704196,-247.6823734026711,-909.8026570903689,7.702330337775023,-118.12044111226528
290,CA,4,9,4480,2082291,4672565,109650,1127694,314747,190083,140465,1132601,136,353570,0.0021165820015293844,1127694,0.0018076167218686236,1237344,0.0016740800692615072,7949,45650,0.00212301806688642,0.001305595188957519,1273066,0.002330466385275029,69392,0.0010989268201711856,143442,0.0034035027876349222,62015852.64481096,175.39907979978776,27120097.122036416,76.70361490521373,37054415.52587296,104.80079058142083,0.0,0.0,1265331.7053080366,3.5787303937212904,1265331.7053080366,3.5787303937212904,-130820637.9335434,-369.9992587989462,-13297014.524071345,-37.607869796847424,-18257955.375223212,-51.63887030919821,-107550688.08926354,-304.18499332314263,-399.3700461542695,12.5618745934327,-31.792233172193793
300,CA,5,9,3350,1298693,4114553,172839,1407612,315192,187765,179470,1102404,95,354460,0.001863813306853673,1407612,0.002256306222346609,1580451,0.0021382909841922847,7485,53487,0.0019990929966844703,0.0015297342797759214,1281874,0.0023465902531039575,75832,0.0012009139184231807,113697,0.0026977318808000987,54609729.89081262,154.06457679516058,34640313.94391501,97.72700429925806,37310785.02435292,105.26091808484152,0.0,0.0,1579414.3556426263,4.45583240885467,1579414.3556426263,4.45583240885467,-153279374.83354732,-432.43066871733714,-14531058.412920486,-40.99491737550213,-17192199.771486443,-48.50251021691148,-85248327.43328312,-240.50196759375703,-396.4658999065383,10.960850307510015,-36.171089722381566
310,CA,6,9,1370,543559,1420596,37110,368851,101898,60483,67517,409796,59,343220,0.0006435026425624121,368851,0.0005912430459663381,405961,0.0005492500218188885,7392,100728,0.0019742545666655447,0.0028808322495796927,477313,0.0008737660904892441,174464,0.0027629001722726788,89432,0.002121987014289862,18854627.427078675,54.93452429077173,8897850.353465995,25.924626634421056,13892880.838778982,40.4780631629246,0.0,0.0,413870.1321764367,1.2058450328548358,413870.1321764367,1.2058450328548358,-288659391.4078852,-841.0331315421164,-33431092.08449941,-97.40426573189036,-16978589.273323685,-49.46853118502327,-67054789.651559636,-195.3697035474612,-1059.5267278526642,6.646532836081813,-159.4104405985699
320,CA,7,9,2480,1020201,2378224,59072,513249,166778,105708,97542,702599,100,356400,0.0010772896929213867,513249,0.0008227032110504704,572321,0.0007743288683824507,9475,67132,0.002530581983110936,0.0019199828307797627,800141,0.001464732939203739,113970,0.0018048865819533955,102179,0.0024244399223222537,31564588.002596628,88.56506173568077,12544127.667795701,35.19676674465685,23289253.733339448,65.34582977929138,0.0,0.0,575892.2477353293,1.6158592809633259,575892.2477353293,1.6158592809633259,-192382279.64413223,-539.7931527613138,-21839127.641636085,-61.2770135848375,-21763005.05475405,-61.06342607955681,-76612301.54538321,-214.96156438098546,-684.7557799851379,9.358560606060607,-73.16892082118802
330,CA,8,9,620,167749,644834,10810,104123,92269,34808,19752,295739,12,292900,0.00029209738941549215,104123,0.00016690208153198182,114933,0.0001555000425107592,5854,110725,0.0015634856917289097,0.0031667475859216056,315491,0.0005775357839709836,200814,0.0031801921037851117,62713,0.0014880151581890162,8558453.50987392,29.21971153934421,2519100.688674299,8.6005486127494,9182818.96513864,31.351379191323456,0.0,0.0,116831.45707238727,0.39887831025055404,116831.45707238727,0.39887831025055404,-317308108.1093449,-1083.3325643883404,-38480324.45579985,-131.37700394605616,-13445976.948868623,-45.90637401457365,-47021278.99877291,-160.53697165849405,-1351.183518043546,4.91867872994196,-274.70456848875955
340,CA,9,9,1430,529243,1488283,61660,419227,94819,83793,44084,439701,29,335250,0.0006741635506369964,419227,0.0006719923449613259,480887,0.0006506220923744395,6995,101117,0.0018682238492729285,0.0028919576937966583,483785,0.0008856136918276665,156930,0.0024852228771250887,119630,0.002838506424093123,19752992.03366399,58.92018503702906,10540077.89646592,31.439456812724593,14081257.700059896,42.00226010457836,0.0,0.0,470394.64147292817,1.4031160073763704,470394.64147292817,1.4031160073763704,-289774160.91842514,-864.3524561325135,-30071196.813213576,-89.6978279290487,-16066725.103747185,-47.924608810580715,-89696803.00134268,-267.5519850897619,-1134.35874399282,7.083248322147651,-160.1466858709368
350,CA,10,9,1470,521485,1588154,89035,420924,100896,95490,52293,532039,24,324160,0.000719403191193038,420924,0.0006747125204495444,509959,0.0006899554190593149,6422,96141,0.0017151870707692275,0.0027496435281832384,584332,0.0010696743796790806,147041,0.0023286156698868934,121043,0.0028720332114979845,21078513.501956016,65.0250293125494,11177277.788760902,34.480743425348294,17007822.63689738,52.46736993119873,0.0,0.0,472298.76431468106,1.4569927329549637,472298.76431468106,1.4569927329549637,-275514281.5239605,-849.9330007525928,-28176249.60563141,-86.9208094941739,-14750608.808615357,-45.50409923684402,-90756249.48333631,-279.9736225423751,-1107.4444038909794,6.64373766041461,-166.68996587409927
360,CA,11,9,11270,6977734,14540660,448308,3704008,1131563,327833,416704,2534527,732,367240,0.00658663908289307,3704008,0.005937272698741996,4152316,0.005617927962535613,9363,50869,0.002500669035131155,0.0014548591821923337,2951231,0.00540250437972706,77280,0.0012238451790239399,127157,0.0030171024105024595,192988525.12876695,525.5106337239052,91010432.99307692,247.82276710891222,85899819.63766026,233.90649068091784,0.0,0.0,4156090.8891193974,11.317097508766468,4156090.8891193974,11.317097508766468,-145776890.05567184,-396.9526469220996,-14808526.666189672,-40.32383908667267,-21505753.702127934,-58.56048824236993,-95340436.17187773,-259.6134303776215,274.42368190250454,22.17647859710271,12.374538216286384
370,CA,12,9,18530,14990888,33609635,2160227,12365031,2565053,438599,652034,4491973,1198,424320,0.015224517694022888,12365031,0.01982030302726086,14525258,0.01965212981893577,6986,28542,0.0018658201302388388,0.0008163044443203836,5144007,0.009416585942220944,55223,0.000874539367510857,115368,0.002737380332147249,446078368.4348706,1051.27820615307,318364503.06675947,750.2934178609528,149723716.481313,352.855666669761,0.0,0.0,13874212.119082604,32.69752101970825,13874212.119082604,32.69752101970825,-81793705.32090244,-192.7641999455657,-10581926.34688137,-24.938551911013786,-16046053.120054014,-37.815924585345996,-86501218.49585307,-203.85845233751195,1760.4452039437629,38.50202677224736,45.72344241401621
380,CA,13,9,7700,4371422,8535136,391039,2132236,611853,153566,285129,1414220,621,374460,0.0038662523128528987,2132236,0.00341782917047556,2523275,0.0034138965289893753,8617,52521,0.0023014274351943996,0.0015021065699723517,1699349,0.003110817287831688,95299,0.001509203179552309,106964,0.0025379754338100543,113281192.76658992,302.51880779413,55305123.769627884,147.69300798383776,49461994.87652384,132.08886096385152,0.0,0.0,2392480.419332892,6.389148158235572,2392480.419332892,6.389148158235572,-150511078.31122965,-401.94167150357754,-18261358.47258294,-48.76718066704839,-19792275.942671835,-52.855514454606194,-80200023.70839772,-214.17514209367548,-122.66053566061717,16.909531058056935,-7.2539288783039755
390,CA,14,9,15000,10801804,19590855,1219249,5363219,1141434,251952,444773,2095684,1320,384620,0.008874280205320193,5363219,0.008596874992190716,6582468,0.008905832561803068,9676,34141,0.0025842650415389356,0.0009764364807491491,2540457,0.004650544152256556,49659,0.0007864250484620836,111514,0.0026459350110868553,260016410.01588166,676.0345536266487,144274487.5012097,375.10916619315094,73943652.02087924,192.25118824002715,0.0,0.0,6017812.494533502,15.646124732290316,6017812.494533502,15.646124732290316,-97838935.37106474,-254.3781794266152,-9515743.086391212,-24.740635136995508,-22224679.357234847,-57.78347292713548,-83611546.35034463,-217.3874118619537,720.3974581717075,27.229478446258646,26.456527971827192
400,CA,15,9,9390,6386352,8761870,156921,1265057,414122,161758,157226,1052412,684,373340,0.003968958450388655,1265057,0.002027800260812734,1421978,0.001923882953106282,11256,39177,0.003006251271967989,0.0011204666531826665,1209638,0.0022143554987340136,59301,0.0009391206387331606,111457,0.002644582550448443,116290482.5963876,311.4868018331483,31166903.840321768,83.48128740644391,35208252.429870814,94.30613497045806,0.0,0.0,1419460.1825689138,3.802057595138249,1419460.1825689138,3.802057595138249,-112270758.64890318,-300.7198763831981,-11363359.728671243,-30.437027183455413,-25853760.938924707,-69.24990876660607,-83568808.5941708,-223.8410258589243,-127.3694987918571,18.860494455456152,-6.753242821532199
410,CA,16,9,640,149958,1089712,56251,208083,69489,45691,26904,243935,0,279220,0.0004936185598382448,208083,0.00033354288515908463,264334,0.0003576339975206339,4935,147532,0.0013180392703590997,0.0042194319697104205,270839,0.0004957961215848225,237085,0.003754598010725812,99908,0.0023705550432023383,14463023.803260572,51.797950731539906,5793670.759834269,20.74948341749971,7883158.333198677,28.232785377833526,0.0,0.0,233480.01961135925,0.8361865898265141,233480.01961135925,0.8361865898265141,-422787083.36498415,-1514.171919507858,-45430635.92978233,-162.70552227556166,-11335137.725088257,-40.59572281744953,-74909539.36519389,-268.2814245583908,-1883.3019964527339,3.948384786190101,-476.9803599283901
420,CA,17,9,15010,11703638,14447081,272510,2318045,1015919,105313,165097,704685,1380,372800,0.006544249597220614,2318045,0.003715668349786337,2590555,0.003504923848037202,10394,26593,0.002776028404480746,0.0007605628227808828,869782,0.0015922173033584162,42895,0.0006793069222856094,102810,0.0024394118988632784,191746513.198564,514.3415053609549,56779766.33820268,152.30624017758228,25316255.123398818,67.90840966576936,0.0,0.0,2600967.844850436,6.976845077388508,2600967.844850436,6.976845077388508,-76208394.84264445,-204.42165998563425,-8219613.759655873,-22.048320170750735,-23873844.278534416,-64.0392818630215,-77085416.0040796,-206.77418456029935,251.22639877937772,27.07043186695279,9.280472510158637
