,STATE,CONG_DISTRICT,agi_stub,N1,A00200,A04800,A00650,A01000,A04470,A04475,A00900,A26270,A07180,TOTAL_DIST_POP,TOTAL_INC_PROPORTION,capgains,CAPGAINS_PROPORTION,combined_capgains_dividends,CAPGAINS_DIVS_PROPORTION,CDCTC,ADDITIONAL_CTC,CDCTC_PROPORTION,ADDITIONAL_CTC_PROPORTION,comb_passthrough,PASSTHROUGH_PROPORTION,EITC,EITC_PROPORTION,PREMIUM_TAX_CR,PREMIUM_TAX_CR_PROPORTION,MARGINAL_RATE_TOTAL,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_TOTAL,CAP_GAINS_AT_DEATH_PER_FILER,NIT_TOTAL,NIT_PER_FILER,PASSTHROUGH_LIMIT_TOTAL,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_TOTAL,1031_LIMIT_PER_FILER,CARRIED_INTEREST_TOTAL,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_TOTAL,ADDITIONAL_CTC_PER_FILER,EITC_TOTAL,EITC_PER_FILER,CDCTC_TOTAL,CDCTC_PER_FILER,PREM_TAX_CREDIT_TOTAL,PREM_TAX_CREDIT_PER_FILER,NET_TAX_CHANGE_PER_FILER,avg_tax_paid,pct_change
20,AL,1,9,1820,735682,1937831,69141,443514,171523,99778,69615,717130,48,300380,0.0008778001411656528,443514,0.0007109227527882924,512655,0.0006936030060413741,7506,94549,0.002004701674430679,0.002704112147223318,786745,0.0014402103082504778,218251,0.003456333257856546,141538,0.0033583258568360146,25719544.136153627,85.62335753430197,11236368.69787026,37.40717989836294,22899343.901182596,76.23458253273385,0.0,0.0,497645.9269518047,1.6567212429316356,497645.9269518047,1.6567212429316356,-270952037.1517765,-902.0308847186114,-41821632.4200642,-139.22908455977162,-17240434.40010384,-57.39541380952075,-106123097.07601807,-353.29614846533747,-1249.3729691019792,6.67679605832612,-187.1216311218585
30,AL,2,9,1140,396217,1117804,56358,206409,109170,60605,38183,421980,12,280070,0.0005063436950877199,206409,0.00033085957710529695,262767,0.00035551390523543854,8153,94555,0.0021775023649924495,0.0027042837479053275,460163,0.0008423714114172504,206028,0.003262763645754972,100821,0.002392218140796562,14835870.266070195,52.97200794826363,5759325.264814104,20.56387783344915,13393705.44153428,47.82270661454022,0.0,0.0,231601.70397370786,0.8269422072114395,231601.70397370786,0.8269422072114395,-270969231.5401138,-967.5053791556176,-39479440.11363516,-140.9627597159109,-18726520.338935066,-66.86371385344759,-75594093.24917136,-269.9114266046751,-1322.2308025189752,5.4013603741921665,-244.79588676153264
40,AL,3,9,1170,438141,1165280,45797,238923,119751,58326,44356,397143,22,284970,0.0005278494092093232,238923,0.0003829773059349585,284720,0.00038521549166613034,8763,89979,0.0023404210995251855,0.0025734096277592244,441499,0.0008082052137379682,188799,0.0029899164849190064,106162,0.002518946075353792,15465987.689833168,54.27233635060943,6240490.964991312,21.898764659407348,12850462.898433695,45.09409024961818,0.0,0.0,268084.11415447097,0.9407450403708144,268084.11415447097,0.9407450403708144,-257855644.70147428,-904.8518956433109,-36177989.467519976,-126.95367746611916,-20127621.455916595,-70.63066798581112,-79598695.98117983,-279.32307253809114,-1258.6126322929556,5.428364389233955,-231.8585382346762
50,AL,4,9,1220,416308,1390523,51999,391385,168660,68989,42645,564576,26,270680,0.0006298801524457432,391385,0.000627363514116907,443384,0.0005998819385954465,5541,88680,0.001479889685321129,0.0025362580801041134,607221,0.001111574835030618,166813,0.0026417350653276457,124980,0.002965447905066944,18455488.466660276,68.18194350029657,9718087.405246234,35.9024952166626,17674039.876986824,65.29496038490772,0.0,0.0,439154.45988183486,1.6224119250843612,439154.45988183486,1.6224119250843612,-254133059.62643218,-938.868995221044,-31964994.290464513,-118.09145223313327,-12727051.293761708,-47.01880927206187,-93708153.80011544,-346.19533692964177,-1277.5503707038454,5.435111570858578,-235.05504055403085
60,AL,5,9,1970,814443,1923846,63866,375091,156345,111191,59121,722401,43,322510,0.0008714652053667097,375091,0.0006012453412206005,438957,0.0005938923734732002,8199,76458,0.002189788040055574,0.0021867074908502515,781522,0.001430649118233392,146407,0.0023185753251210913,135026,0.003203813160742272,25533930.517244596,79.1725233860798,9621056.450265843,29.83180816181155,22747320.979910932,70.53214157672919,0.0,0.0,420871.7388544204,1.3049881828607497,420871.7388544204,1.3049881828607497,-219108090.5831952,-679.3838658745317,-28054761.433965206,-86.98881099490002,-18832177.144477937,-58.39253711350946,-101240495.8794558,-313.91428445460855,-956.5330489472076,7.857083501286782,-121.74148954768685
70,AL,6,9,4670,2234543,5558409,284534,1317243,538627,261448,149581,1903640,170,312440,0.0025178522816780386,1317243,0.0021114508666042306,1601777,0.002167144263116392,10916,65643,0.0029154441084579394,0.0018773972615276763,2053221,0.0037586130821503213,115197,0.0018243179747414698,110991,0.0026335255915449288,73773071.85316654,236.11916480977638,35107737.06248555,112.36633293587747,59761948.006190106,191.2749584118234,0.0,0.0,1478015.6066229613,4.730558208369483,1478015.6066229613,4.730558208369483,-188115205.60507315,-602.084258113792,-22074247.494371787,-70.65115700413452,-25072819.332738277,-80.24842956323863,-83219408.69281974,-266.35324764057015,-470.1155197475191,12.46416912047113,-37.717357266550735
80,AL,7,9,670,233166,794089,45068,218707,72088,47770,19556,284229,11,259380,0.00035970703136552776,218707,0.00035057243400223915,263775,0.0003568776914661194,6764,109344,0.00180652839406463,0.0031272508289456945,303785,0.0005561068560866246,278988,0.004418195119119189,78114,0.0018534405317362718,10539416.019009963,40.63310979647607,5781418.601751135,22.28937698261676,8842099.01177733,34.0893631420207,0.0,0.0,245400.7038015674,0.9461049572116871,245400.7038015674,0.9461049572116871,-313350533.0603586,-1208.0751525189244,-53460160.94134219,-206.10749071378746,-15536144.18895582,-59.89723258908096,-58568720.80286619,-225.8027635240427,-1600.9785795102985,3.938715398257383,-406.4722676379776
90,AK,0,9,2500,872573,2364302,97911,462994,109244,102829,97990,807977,77,348970,0.0010709832949097394,462994,0.0007421478668192271,560905,0.0007588834481349776,8024,70000,0.002143049058837166,0.0020020079567804236,905967,0.001658457330310025,96852,0.0015337972732767419,97613,0.0023161007069715123,31379810.540855363,89.92122687009017,12293911.859786637,35.22913677332331,26369471.5519294,75.56372052591742,0.0,0.0,519503.506773459,1.4886766964881193,519503.506773459,1.4886766964881193,-200601197.26939845,-574.8379438616456,-18558947.006648578,-53.182070111036985,-18430221.90599963,-52.81319857294218,-73188782.34029979,-209.7280062478144,-686.869781231132,9.095039688225349,-75.52136161872606
110,AZ,1,9,1320,445502,1396948,59380,434553,87042,47362,35519,299519,28,297640,0.0006327905537691762,434553,0.0006965588797476762,493933,0.0006682728415465255,4853,98116,0.0012961387191596171,0.0028061287526781145,335038,0.0006133183957389289,162105,0.002567176795363299,74237,0.0017614494809445888,18540763.225436863,62.29257903990345,10826020.033053713,36.37286666124752,9751762.49224897,32.76361541543129,0.0,0.0,487591.21582337335,1.6381911565091163,487591.21582337335,1.6381911565091163,-281174101.0183471,-944.6784740570725,-31062839.22389592,-104.36379258129256,-11146792.984772706,-37.45058790744761,-55661803.597849004,-187.01049454995635,-1138.7979056661686,6.2569379115710255,-182.00562667565822
120,AZ,2,9,2330,837634,2350804,154445,673009,201345,73504,77017,546331,64,332810,0.0010648689607364013,673009,0.001078787616470497,827454,0.0011195142576605303,6472,77457,0.0017285410654030583,0.002215279004404875,623348,0.0011410968169194833,140285,0.002221624235757937,56410,0.0013384614844361203,31200660.54957656,93.74916784224199,18136130.97410059,54.493948421323246,18143439.389019784,54.515908142843614,0.0,0.0,755151.3315293478,2.2690163502579486,755151.3315293478,2.2690163502579486,-221970956.24136847,-666.9599959176962,-26881653.25267104,-80.77177143917262,-14865453.1624663,-44.66648587021514,-42295382.9081814,-127.08567323151767,-712.1868693516769,7.61892671494246,-93.47600994178293
130,AZ,3,9,520,178452,607090,34724,196376,86025,33210,506,212075,0,315570,0.00027500008395998216,196376,0.00031477736103382016,231100,0.0003126696407840781,7001,156067,0.0018698263286289882,0.0044635339398692905,212581,0.0003891494036037024,283036,0.0044823012951633,60277,0.0014302152614315904,8057502.460027477,25.533170009910563,5065248.180702065,16.051108092347388,6187475.517298869,19.607299544629935,0.0,0.0,220344.1527236741,0.6982417616493143,220344.1527236741,0.6982417616493143,-447246100.7749029,-1417.2643178214116,-54235845.67147593,-171.8662916990713,-16080506.426209299,-50.95701881106981,-45194802.261238255,-143.2164092316705,-1720.7159763930367,3.5552175428589536,-483.99738008980194
140,AZ,4,9,1260,368486,1331406,44167,351934,93313,58536,23604,372123,17,324030,0.0006031012894049054,351934,0.0005641262464765372,396101,0.0005359098112687759,5048,81393,0.0013482192982315572,0.0023278490518032716,395727,0.0007244152865960849,130083,0.0020600602021605997,135473,0.003214419299432982,17670867.77956373,54.534665862925436,8681738.94255417,26.793009729204613,11518203.05687775,35.546718072023424,0.0,0.0,394888.37253357604,1.2186784326561615,394888.37253357604,1.2186784326561615,-233250474.99068782,-719.8422213705145,-24926728.44614326,-76.92722416487133,-11594685.964791391,-35.78275457454986,-101575649.86208223,-313.47606660519773,-1026.7165161856676,5.814399901243712,-176.58168231016424
150,AZ,5,9,3250,1502669,3295591,62082,741734,270926,158591,54792,1082044,92,379070,0.0014928392852752664,741734,0.0011889491134815843,803816,0.0010875329293660516,10644,72389,0.0028427983776498997,0.0020703336283339722,1136836,0.0020810846284250173,100542,0.0015922339801944223,76127,0.0018062942284287986,43740191.0585653,115.38816329059357,17618033.455730036,46.47699225929257,33089245.591957774,87.29059432811295,0.0,0.0,832264.379437109,2.195542721494998,832264.379437109,2.195542721494998,-207447429.55906403,-547.2536195400955,-19266031.16035251,-50.8244681994157,-24448066.047789138,-64.4948585954814,-57078897.61835004,-150.57614060292303,-559.6022516169265,10.058218798638773,-55.63631720684583
160,AZ,6,9,10120,5340516,14571804,813821,5302735,1199885,432467,405690,2811877,304,378320,0.00660074671539377,5302735,0.00849992325722937,6116556,0.008275471083321929,8309,59702,0.002219166828250002,0.0017074839862243549,3217567,0.005890057338637761,99475,0.0015753364283567083,79452,0.0018851877656695377,193401878.76103744,511.21240949734994,134062631.54981525,354.3630565389492,93651911.6843404,247.54681667461514,0.0,0.0,5949946.280060559,15.727284521200461,5949946.280060559,15.727284521200461,-171089895.41968036,-452.2359257234097,-19061570.78311617,-50.384782150338786,-19084834.722950015,-50.446274907353605,-59571933.39515739,-157.46440419527752,434.0454647769353,19.648604356100655,22.090396697420875
170,AZ,7,9,480,215342,545051,20585,110879,54641,31120,16814,203953,0,305040,0.00024689761116551456,110879,0.000177731489663039,131464,0.00017786586610141948,6080,177204,0.0016238457474738249,0.005068054542475974,220767,0.0004041346422557922,299495,0.004742954346425658,48409,0.0011486187200862993,7234100.007149577,23.715250482394364,2881427.0308429957,9.446062912545882,6425740.811867096,21.065240007432127,0.0,0.0,124412.0427641273,0.40785484777120146,124412.0427641273,0.40785484777120146,-507819065.1560926,-1664.762212024956,-57389747.59175046,-188.13843296535032,-13965073.428274894,-45.781121912781586,-36296351.554727055,-118.9888262350087,-1962.6283300401817,3.326485051140834,-590.0006462879155
180,AZ,8,9,1650,584084,1516571,47125,383599,120875,67593,39638,460211,48,367600,0.0006869774701136142,383599,0.0006148830860961237,430724,0.0005827534329601093,9061,76070,0.0024200109075428167,0.0021756106467469543,499849,0.0009150203463240225,114613,0.0018150694552726554,76135,0.0018064840474657686,20128439.874328896,54.756365272929536,9440605.61395377,25.681734531974346,14548823.506551959,39.57786590465712,0.0,0.0,430418.1602672866,1.1708872694975152,430418.1602672866,1.1708872694975152,-217996186.8040448,-593.02553537553,-21962340.40879913,-59.745213299235935,-20812093.804868225,-56.61614201541955,-57084895.89991829,-155.29079406941864,-742.3199445110481,7.297198041349293,-101.72670938964801
