,STATE,WEIGHTED_CHANGE_PER_FILER
0,AL,-312.01974863474425
1,AK,-111.31754999362651
2,AZ,23.64747911397961
3,AR,40.960067631064966
4,CA,389.3432459021328
5,CO,316.8909950792763
6,CT,501.8574485650218
7,DE,-59.37482073989162
8,DC,973.1319285231236
9,FL,-2.804189124858759
10,GA,-158.97847342997795
11,HI,50.20860830684053
12,ID,-213.37514171373567
13,IL,236.951129741926
14,IN,47.32053170970431
15,IA,-123.14069625922806
16,KS,1.4278607578503362
17,KY,-104.93946810418731
18,LA,-70.33350569799445
19,ME,-462.9445038554135
20,MD,137.24290678358673
21,MA,738.3988629070928
22,MI,73.30818708234705
23,MN,207.7910579421993
24,MS,-405.34649789319354
25,MO,-174.47322902972974
26,MT,-164.31171876069175
27,NE,-474.16483859521713
28,NV,454.35591112488504
29,NH,98.03535352520947
30,NJ,304.2477240502774
31,NM,-114.75022676213885
32,NY,761.4457889546895
33,NC,-418.40768614225976
34,ND,71.59418099736993
35,OH,81.85692020004244
36,OK,-289.1855245449005
37,OR,68.89665840745454
38,PA,-44.296581018553105
39,RI,99.41702345984888
40,SC,-244.33043770959625
41,SD,-58.87910627859958
42,TN,-212.92128684918978
43,TX,41.285417777990105
44,UT,-49.977799570781116
45,VT,-22.024267739669824
46,VA,-73.40111550360017
47,WA,419.9290587662923
48,WV,-183.88475577322512
49,WI,-131.68676766456838
50,WY,101.73894225761455
