,STATE,WEIGHTED_CHANGE_PER_FILER,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_PER_FILER,NIT_PER_FILER,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_PER_FILER,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_PER_FILER,EITC_PER_FILER,PREM_TAX_CREDIT_PER_FILER,CORP_RATE_PER_FILER,GILTI_CHANGES_PER_FILER,REPEAL_FIDII_PER_FILER,BOOK_TAX_PER_FILER,CDCTC_PER_FILER
8,DC,2242.6394947581457,0.0,200.05947177619905,270.66147067522365,319.7287548327203,6.967179204656531,6.967179204656531,-14.514890683209966,-79.41782165248598,-14.384572205315648,1003.4011659452224,464.8182641840909,94.98460181153162,57.597045779333,-74.22835411447655
21,MA,1919.5963912218547,0.0,239.47446214348878,176.9801119035514,209.06422575741152,8.885180670407943,8.885180670407943,-10.742476719641095,-56.11817897585904,-92.8586478814208,931.4619414064555,431.49294365253724,88.17464500725762,53.46760388737961,-68.57060030012188
32,NY,1783.6213644404706,0.0,229.96330131529007,181.8273211600725,214.79016885575814,8.225058735884193,8.225058735884193,-17.2766027742852,-94.22263117433904,-32.43335464270794,836.625250777378,387.5605391315144,79.19715364861385,48.02380593586158,-66.88370526445408
6,CT,1677.8820521498808,0.0,246.63825113661534,131.8910799780803,155.80115880451592,8.713147574548737,8.713147574548737,-12.997626115901602,-65.88079304411868,-192.02183923030378,904.7524957280003,419.1199879505339,85.64625840728304,51.93443328952269,-64.4276499034443
47,WA,1486.1494782826323,0.0,172.21769435122016,109.7103451620821,129.5993551037461,5.988712297074224,5.988712297074224,-15.077175784373525,-58.761165713947015,-94.05967899167274,794.4380865273581,368.0176433057249,75.20360537116987,45.60218623570939,-52.718841878533695
4,CA,1484.9719190327137,0.0,195.9653863932607,150.01205468927262,177.20722249843897,7.230664712573457,7.230664712573457,-19.152368487710014,-87.78735742146017,-222.18171210178082,826.1111792026204,382.68997223887754,78.20186389229235,47.42027916873046,-57.975930464975434
30,NJ,1395.1289920613917,0.0,119.0251506849245,146.49241048370615,173.04951413864703,4.264011154607019,4.264011154607019,-14.869304517842133,-74.59878695267257,-139.4137495270444,778.4357049613279,360.60465688037345,73.68877771033719,44.683620526481064,-80.49702463606046
5,CO,1347.9769910075922,0.0,150.4907202894034,112.3051777979029,132.66459599518356,5.631172239815706,5.631172239815706,-15.29861831970012,-63.879175565882,-142.99507451270412,753.2346909696055,348.9304711440268,71.30318323377936,43.23703664175983,-53.278361145414415
28,NV,1292.9892867308092,0.0,226.2502645231737,126.14551751102584,149.01400314167967,8.611497420315608,8.611497420315608,-22.68545143816965,-103.0848727458101,-152.88852924416668,687.3419626766698,318.40614585223375,65.06560371763038,39.45467459473331,-57.25302669882216
13,IL,1164.6544248622922,0.0,151.1055968142032,108.883650468987,128.6227917820782,5.4526091223095845,5.4526091223095845,-18.219108912300122,-90.71353431682921,-168.89675505105743,683.8904693335191,316.807266760744,64.73887625110858,39.25655262035307,-61.72659913313362
50,WY,1141.841184650856,0.0,251.09082131506707,134.91435218824196,159.37250960248463,8.399892277125753,8.399892277125753,-16.53792626832099,-66.4584006488963,-543.4561250588403,781.7848275902243,362.1561134859045,74.00581449494571,44.87586623629687,-56.70645284050271
23,MN,1121.8770968130411,0.0,86.48715662284376,98.55211837156484,116.41829187752103,2.934985994826219,2.934985994826219,-14.87204463727456,-60.11544682823838,-73.15516762879068,640.1575277718741,296.5483008812306,60.59900061486018,36.74620250050032,-71.35881472270269
20,MD,1094.4585996797964,0.0,83.98319622676425,120.00557376235946,141.76097017541878,3.0017574592393164,3.0017574592393164,-15.974707758255466,-74.13252454253248,-145.74389044013537,661.286310272373,306.336055111069,62.59910691400106,37.95903291593682,-89.62403787568117
29,NH,1071.967350257717,0.0,119.02331358643568,67.42824093800141,79.65207409050458,4.430360406367828,4.430360406367828,-9.715135888100663,-46.85642893219168,-174.14348017562705,675.2172520559734,312.7894621810149,63.91784661959869,38.758694226777926,-62.96520925740594
9,FL,964.5647983365861,0.0,220.56356865732423,148.4456925473632,175.35689996823015,7.892030399498737,7.892030399498737,-21.38394604538541,-124.3450585751717,-546.8057108873023,719.8973756849323,333.48720323773307,68.14738500944979,41.323414314240836,-65.90608637382553
37,OR,953.2390659610645,0.0,82.08581227563967,88.95265489780473,105.07857479155882,3.008702981233989,3.008702981233989,-16.057905465293523,-66.96220980800017,-173.85689181030264,605.7173986714424,280.5941625265494,57.338807124990524,34.769276660898505,-50.438019866691086
34,ND,936.3823182819208,0.0,54.38699029720398,103.93490699968189,122.77690768383472,1.846888794103624,1.846888794103624,-14.987343339821743,-61.18610442191882,-126.00792398060631,581.9017643342183,269.56174380034287,55.08435634180918,33.402216079607705,-86.17897310063817
43,TX,933.2627183661039,0.0,126.72300244127285,110.36720776793089,130.37529806504116,4.554903325808901,4.554903325808901,-27.311721094879136,-135.93459550362678,-238.78140557989786,636.954723547593,295.06462520835123,60.29581471648915,36.56235573233916,-70.16239358612722
46,VA,922.6806595859139,0.0,86.63363744348824,115.12039640091734,135.99017586541112,3.0408586380014917,3.0408586380014917,-17.02918028629275,-83.13203288217913,-320.0642260677515,665.2860430786051,308.1889021310758,62.97773217461114,38.18862482928548,-75.56113037725987
39,RI,919.5803858529313,0.0,77.98073533449578,79.42875112011936,93.82811535826961,2.8171799456439524,2.8171799456439524,-14.945605273913655,-81.43887366853413,-107.8250622632937,567.7880878815722,263.0236862291271,53.74831849029989,32.59206546752227,-50.23419271402122
44,UT,892.7084019739686,0.0,112.36851012469339,117.31917328288343,138.5875614218857,4.305830691696116,4.305830691696116,-24.669410416294816,-73.64221066116323,-391.40988950580515,647.1624576575391,299.7932835070171,61.262105760129565,37.14829817369559,-39.823138754004155
16,KS,847.9134857184966,0.0,86.55185629125343,99.93529143396519,118.05221561205245,2.9241349427844083,2.9241349427844083,-20.523908935971907,-84.50149702177642,-231.89778013848155,580.4074438385443,268.8695107409168,54.94290002096996,33.31643937441795,-63.08725538296225
11,HI,835.90769708868,0.0,61.47918497256317,57.88777303632581,68.38204768033808,2.2404386382892914,2.2404386382892914,-16.537841460067938,-71.23546667292112,-74.29317291661704,532.0186882366326,246.45377299984992,50.3622927434476,30.538837089111844,-53.62929589656147
2,AZ,831.9989303313004,0.0,95.786693625159,84.70318811440626,100.05873683690093,3.5546757801932127,3.5546757801932127,-24.51093971925963,-113.07746350023261,-178.35297502463393,565.6016716560586,262.01084487591834,53.54134656160071,32.46656121288554,-53.3380858678894
22,MI,831.1968298771488,0.0,75.27475439920096,89.22595720561725,105.4014231317818,2.6840466016819913,2.6840466016819913,-17.80278276776295,-94.12819586050264,-139.30890512436096,527.8895444088546,244.5409772689558,49.971417094090974,30.301816748544525,-45.537269830634536
35,OH,813.1219674827973,0.0,65.30917259597507,72.75235624052844,85.9413798864722,2.249187500223537,2.249187500223537,-18.162128353005254,-93.45993011546952,-80.47484488079165,506.86569688708454,234.80183340187196,47.98124421690428,29.095009791101525,-42.026197188321255
38,PA,805.6497640812212,0.0,89.02924642232941,78.12210129966478,92.28458750018879,3.1785405610031363,3.1785405610031363,-15.389742879300856,-78.3371149736941,-240.57590920215324,575.6145241579327,266.6492256924965,54.4891895980319,33.04131709667892,-55.6347417529598
45,VT,804.0132770524136,0.0,75.98329122004901,56.3322336747014,66.54450995491041,2.5812463935410888,2.5812463935410888,-12.08496706129791,-58.51775018380086,-166.94882446613306,553.3850221207874,256.35157117377867,52.38488628333739,31.765303384576917,-56.344491835577976
41,SD,793.3718726823172,0.0,84.19861467762553,98.1244602208928,115.91310505625933,3.229329983048405,3.229329983048405,-19.273493528472365,-75.8749835914313,-255.33004585231103,575.1815722405094,266.4486638777788,54.44820522719827,33.01646487181171,-89.93935048364078
14,IN,769.4764760503303,0.0,47.811219057116624,81.68739425118143,96.49622010958275,1.70365841178672,1.70365841178672,-20.22710540627264,-94.7488219641097,-83.66900242886638,491.1661370441832,227.52912692882603,46.4950824593688,28.193826597702362,-54.664917421955536
3,AR,745.4249098990679,0.0,138.3100811663679,53.53181025044174,63.236407430346375,2.6141596397466738,2.6141596397466738,-28.2391854142244,-148.0636619701325,-122.78535444766885,523.094288281706,242.31960987873592,49.51748549695908,30.026560354539015,-60.7514504074957
1,AK,740.5271934993235,0.0,42.40544241233362,81.26664282976024,95.99919211468752,1.4886766964881193,1.4886766964881193,-17.210716882085197,-65.92818608806238,-228.3115004723043,549.1556329819455,254.39233753443597,51.98452114834127,31.522528781440986,-57.72605425414609
7,DE,738.8903469669257,0.0,68.44864495000894,78.97001430766831,93.2862157318655,2.2081565208951,2.2081565208951,-18.47779781828096,-89.02586947665067,-187.98726407347397,534.6989208490296,247.69537118887573,50.61601063424852,30.692687299491123,-74.44289966764661
49,WI,704.4038401757966,0.0,63.73851394951744,92.9451511531575,109.79485691776497,2.2109837481725947,2.2109837481725947,-14.904550409620873,-66.6741665606025,-317.86750700542683,546.939477041044,253.36571947520673,51.774733979716146,31.395317413232135,-50.52567327453747
10,GA,690.5480461305375,0.0,86.7546009510636,106.72385174120535,126.07145059487418,3.0629711883975093,3.0629711883975093,-27.135027229898842,-152.01062925355797,-308.75067671154557,573.5970804647683,265.7146596312119,54.29821305507374,32.92551217169364,-73.76693166114589
15,IA,675.4826100446265,0.0,44.29995401476093,69.5050400661838,82.1053689670709,1.5876837254000475,1.5876837254000475,-17.673808970630756,-74.25982380652604,-188.85145372726143,515.6123715520783,238.85366658001612,48.809227518525034,29.597084771871565,-75.69038437226209
26,MT,673.1884255301072,0.0,71.25999724051849,78.17076044905276,92.34206789888104,2.660815910035242,2.660815910035242,-17.048652261625044,-76.26989974392174,-318.2345815189982,547.9573736287373,253.83725263768287,51.87109075639607,31.453746522495493,-47.472361899182296
18,LA,672.668346043554,0.0,57.80769470806938,104.95835745494121,123.98589594092468,2.0502277410415237,2.0502277410415237,-27.34625426263476,-172.34173895002243,-162.61001999183216,506.217134817516,234.5013917583659,47.91984962018782,29.05778115266708,-73.58220168671166
12,ID,646.0481492878941,0.0,68.78099108125664,96.87661756731455,114.43904531343588,2.5664385835543007,2.5664385835543007,-24.356769631641345,-88.96174560308467,-378.4554559236566,559.4404253082204,259.15669248920585,52.95810672605511,32.11289450409725,-51.07552971041742
25,MO,617.876349150089,0.0,65.63591172631543,83.06119505701766,98.11907252349455,2.2330017582100177,2.2330017582100177,-20.58844718951894,-100.66223378889218,-290.3826819245099,519.7410339639853,240.76623929852292,49.20005759578511,29.834077478295235,-61.313879106826406
42,TN,617.730129782766,0.0,95.14340093008313,82.26665674813108,97.18049510597942,3.5562815630167646,3.5562815630167646,-23.188006272089094,-121.76243337501911,-355.39378818093144,554.6199575151404,256.92364597881624,52.50178852610594,31.836190914766366,-59.51034123425041
17,KY,575.0114792169887,0.0,39.16260274796177,53.557484931421165,63.2667365856554,1.2886959712878276,1.2886959712878276,-22.490978361456207,-117.07605914310717,-112.95457616529225,445.904188361579,206.56185966397413,42.21046697481211,25.595708697492455,-51.303347018627385
40,SC,529.0475319042707,0.0,67.99620862048646,83.1183567211529,98.18659682849642,2.4691605399392387,2.4691605399392387,-23.56404068797992,-127.4916545445402,-318.52929343384733,504.7184351003038,233.80713005653553,47.777978750683346,28.971753072222878,-70.88225965912163
31,NM,516.4119439428786,0.0,49.622247520079874,48.56316048652102,57.36700829401898,1.7903207642527845,1.7903207642527845,-24.81051108394343,-127.17633692540566,-135.11337142187608,420.4325770590598,194.76232169906095,39.79925704285158,24.133592036622765,-34.74864229261677
36,OK,485.6266616390663,0.0,69.95453131153943,74.20053920157724,87.65209893987486,2.532178079200998,2.532178079200998,-26.185328812320265,-121.7003653236534,-364.9649313011928,501.40250280098314,232.27104862885423,47.46408385024412,28.781412547488454,-48.31328636273074
33,NC,451.8102633002147,0.0,74.77479300951238,80.75411873736807,95.39375429794354,2.699279125149012,2.699279125149012,-22.519255610407765,-116.15955181319444,-487.35357763084664,548.0082161266992,253.86080505365726,51.875903641399525,31.456664974040134,-63.68016573625449
27,NE,427.86672652407964,0.0,61.47610950742199,86.65270644473738,102.36167661892954,2.059671276421115,2.059671276421115,-19.86942745810156,-79.23881581079924,-536.2652288580531,552.3995729824994,255.8950690553371,52.29160106782976,31.70873681772655,-83.6646163962904
0,AL,426.90395356769517,0.0,49.48041008903779,83.77841004413044,98.96630894101956,1.7635546432237343,1.7635546432237343,-26.166012890346785,-154.48823800505255,-320.6437423675977,471.4250533700521,218.3842140485639,44.62633939253262,27.06065261036553,-69.04655095145722
48,WV,420.7008783974301,0.0,20.562078528051604,37.723675603483265,44.562470595927586,0.7177853981470678,0.7177853981470678,-19.19710640264859,-104.12689468691399,-146.03465909566685,380.13389467857365,176.09425131132315,35.98447744187907,21.820374619011783,-28.25725499188475
19,ME,370.4888120311508,0.0,56.306341903408835,51.19540826557026,60.47644719090754,1.9878365152707786,1.9878365152707786,-14.368282544617452,-72.16727334590196,-468.3236722553592,504.6528232434024,233.77673584286515,47.7717677591942,28.967986832702856,-61.775143891563445
24,MS,221.01672051374527,0.0,26.18754772879832,53.34325998264905,63.01367553505911,0.9143857564911424,0.9143857564911424,-32.192337389076776,-203.43767728639028,-236.35812214136527,385.4767240689592,178.56927801784616,36.49024376886422,22.127062710907023,-74.03170599548768
