,STATE,WEIGHTED_CHANGE_PER_FILER,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_PER_FILER,NIT_PER_FILER,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_PER_FILER,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_PER_FILER,EITC_PER_FILER,PREM_TAX_CREDIT_PER_FILER,CORP_RATE_PER_FILER,GILTI_CHANGES_PER_FILER,REPEAL_FIDII_PER_FILER,BOOK_TAX_PER_FILER,CDCTC_PER_FILER
8,DC,1496.699063103262,348.4677451597528,-36.93405632791367,229.5082646076457,0.0,5.971867889705598,5.971867889705598,-491.5709644713775,-63.53425732198878,-9.199435712701868,730.7370126937124,563.4983669314488,72.4345726868403,204.52114640990203,-63.17306733146939
21,MA,1399.2475689735027,314.25463247600396,-44.21066993418254,150.07085512289444,0.0,7.615869146063952,7.615869146063952,-363.81187823851167,-44.89454318068723,-59.38634457532726,693.1398585663753,534.5058093026423,68.70774108238122,193.99832776201765,-58.35795770223139
6,CT,1186.8515518889055,360.2969609391018,-45.53321559445206,111.83746547848915,0.0,7.468412206756059,7.468412206756059,-440.18627112520085,-52.70463443529495,-122.80466462403149,658.4861116645081,507.783021968695,65.27267579181714,184.29931988277784,-54.83204247101642
32,NY,1061.8470610773975,322.1454763383849,-42.45476331974585,154.1810618024006,0.0,7.050050345043594,7.050050345043594,-585.1009472891255,-75.37810493947123,-20.742261690103916,628.8033207190921,484.893522828571,62.33035832200913,175.99159996802578,-56.92230235272687
47,WA,813.4092252670197,214.41820689910006,-31.794035880225263,93.02924004971874,0.0,5.1331819689207645,5.1331819689207645,-510.61368656411673,-47.00893257115761,-60.15444586676743,553.5129896320889,426.83436080958467,54.86717681484264,154.91908747720274,-44.8670994710925
4,CA,754.9454776963237,269.17904410950933,-36.17822518029429,127.20320426868146,0.0,6.197712610777248,6.197712610777248,-648.6268794504457,-70.22988593716813,-142.09295541392956,601.1857353910889,463.5965802068309,59.592755111653105,168.26189678584413,-49.34121741700037
5,CO,731.2480844593201,181.44611074377687,-27.78290220727448,95.22953672921591,0.0,4.826719062699176,4.826719062699176,-518.113207093844,-51.103340452705595,-91.45033835114798,548.2010048205518,422.73809263858885,54.34062438454449,153.43235120341973,-45.34328608120376
30,NJ,724.3082169921586,238.38665638628828,-21.97387397260145,124.21871064407831,0.0,3.654866703948874,3.654866703948874,-503.57377967092003,-59.67902956213806,-89.15995609287722,510.3318462922117,393.5357823448689,50.58683024470905,142.83340304388435,-68.50810607324294
50,WY,672.311736290611,217.53254976803228,-46.3552285504739,114.40105887307068,0.0,7.199907666107788,7.199907666107788,-560.0844362871376,-53.16672051911705,-347.55914974693275,642.4702343236896,495.43258594348663,63.68509611371851,179.81674196814637,-48.260810928087416
29,NH,612.6596401972756,149.48886694487564,-21.973534815957358,57.17599377783745,0.0,3.7974517768867093,3.7974517768867093,-329.01926874367587,-37.48514314575335,-111.37083034487776,442.6844343471464,341.37035826478194,43.88125588280752,123.90001661028005,-53.587412133962495
28,NV,453.1615786604906,218.3517799102811,-41.769279604278225,106.96549730467105,0.0,7.381283503127664,7.381283503127664,-768.2806220393454,-82.4678981966481,-97.77754777243219,535.8255597855874,413.1949287559413,53.113903885451826,149.96866979421688,-48.72598016921035
23,MN,434.27066902175085,142.37273880195303,-15.966859684217306,83.5675857536661,0.0,2.5157022812796166,2.5157022812796166,-503.66657838236506,-48.092357462590705,-46.78528162306381,408.5959819099079,315.0834904232381,40.50222561206084,114.35922525758355,-60.73090614698101
13,IL,431.7114849503536,200.8637071002782,-27.896417873391368,92.32824162574919,0.0,4.673664961979645,4.673664961979645,-617.0204884965641,-72.57082745346338,-108.01536660242046,468.4373475611904,361.2293831776527,46.43402279032209,131.10782905502705,-52.53327585798607
9,FL,375.3228424118292,235.83171620355716,-40.7194280598137,125.87500245244246,0.0,6.764597485284632,6.764597485284632,-724.2029727370526,-99.47604686013739,-349.70132673025154,590.786450685698,455.5773067241024,58.56192222540448,165.35130981290672,-56.09028627559618
20,MD,351.0157977162876,147.9600982872434,-15.504590072633397,101.75911225463229,0.0,2.572934965062271,2.572934965062271,-541.0101027462517,-59.30601963402598,-93.20830202566798,409.9515111362042,316.12878919978425,40.636592940614996,114.73861536173644,-76.27577691547334
45,VT,343.45751864659053,86.03391739608608,-14.027684532932128,47.76709873000996,0.0,2.2124969087495048,2.2124969087495048,-409.27755114262254,-46.81420014704069,-106.76959704229441,386.0544299632169,297.7008650882533,38.26778606049381,108.0502194649237,-47.95275900900253
37,OR,330.7171957837862,114.6741356177104,-15.154303804733479,75.42768982562389,0.0,2.578888269629134,2.578888269629134,-543.8277317579406,-53.56976784640013,-111.18754708798426,419.56360826839153,323.54103319822036,41.58939557179392,117.42888161447695,-42.92597435463071
34,ND,298.03760313927484,113.6316767516953,-10.040675131791504,88.13193868394077,0.0,1.5830475378031064,1.5830475378031064,-507.5713611086298,-48.94888353753505,-80.58646301085287,378.392522349388,291.7924844356068,37.50829667603264,105.9057788499745,-73.34380689416015
39,RI,264.04049788352205,112.95100699761625,-14.39644344636845,67.35186498489651,0.0,2.4147256676948166,2.4147256676948166,-506.1578319432092,-65.15109893482729,-68.95788865675759,361.0564231872498,278.42397648112996,35.78984952876529,101.05369278710198,-42.75250443746487
46,VA,229.70053137364596,149.78951333710435,-15.993902297259366,97.61671039843868,0.0,2.606450261144135,2.606450261144135,-576.7215723624478,-66.50562630574329,-204.69223760146897,421.0421926845254,324.6812243879212,41.73596079088591,117.84271282132491,-64.3073450019233
38,PA,197.84354445427653,139.08801937120813,-16.43616857027619,66.24388706696719,0.0,2.7244633380026877,2.7244633380026877,-521.1992921789891,-62.669691978955285,-153.85668611765612,366.75339719866344,282.81712407885277,36.35456415380338,102.64818114015068,-47.34871638549772
26,MT,143.93802056327635,92.83855661140532,-13.155691798249569,66.28514774919678,0.0,2.2806993514587792,2.2806993514587792,-577.3810232603681,-61.015919795137386,-203.52211608773143,407.2885149137558,314.0752542119196,40.37262246958513,113.99328697294624,-40.40201012696365
41,SD,136.28752101528903,116.8924464071504,-15.544359632792409,83.20495164929507,0.0,2.7679971283272042,2.7679971283272042,-652.7289808309308,-60.69998687314505,-163.29247118461754,418.3270114795071,322.5874476277832,41.46681746444095,117.0827787231274,-76.54412807118365
11,HI,133.73963467435297,80.31266005494238,-11.350003379550124,49.08612333489615,0.0,1.9203759756765355,1.9203759756765355,-560.0815641143008,-56.988373338336885,-47.51307570248764,335.82610026992336,258.9679402956115,33.288884574861214,93.99214468196108,-45.641953954520396
49,WI,117.69654390005248,109.26213305769011,-11.76711026760322,78.81313986671249,0.0,1.8951289270050813,1.8951289270050813,-504.76744053916025,-53.339333248482006,-203.28735913137763,345.0895463764057,266.11132657889004,34.2071270460577,96.58482930651587,-43.00057299960635
22,MI,103.4790565638143,118.40761141711589,-13.896877735237098,75.65943739657602,0.0,2.3006113728702773,2.3006113728702773,-602.9209097349052,-75.3025566884021,-89.09290443999829,337.0837299037591,259.9377450715577,33.413547570635025,94.34413431708712,-38.755123260114495
16,KS,73.58757325529696,124.20684776838601,-15.978804238385246,84.74045180073071,0.0,2.506401379529493,2.506401379529493,-695.0763826315819,-67.60119761742115,-148.30671985600566,390.802273574907,301.36210309202016,38.7384177887663,109.37906199181073,-53.69128117698915
35,OH,51.65721575177712,98.96149678565105,-12.057078017718469,61.69059447296273,0.0,1.927875000191603,1.927875000191603,-615.0907468884446,-74.76794409237561,-51.46647056329699,314.5361579689356,242.55047750082645,31.178511285550474,88.03344362978957,-35.76697633048619
1,AK,27.31539592566898,83.16946239520284,-7.828697060738515,68.91031117143412,0.0,1.2760085969898165,1.2760085969898165,-582.869611739952,-52.7425488704499,-146.01316890670623,330.79905447368657,255.09139914953383,32.790576828295464,92.58515810342249,-49.12855681203923
44,UT,3.2536781885966106,138.55052371715416,-20.744955715328004,99.48117032759122,0.0,3.690712021453814,3.690712021453814,-835.4706994318509,-58.913768528930596,-250.32027817231724,445.1708842867865,343.28775187712836,44.127726139214985,124.59593262837171,-33.8920329821312
7,DE,-3.906879665992889,102.67572308637654,-12.636672913847802,66.96287762930938,0.0,1.8927055893386573,1.8927055893386573,-625.7814194457819,-71.22069558132054,-120.22441307024496,332.9485739371681,256.74897319644595,33.00364872846564,93.18677288037355,-63.35565929161414
15,IA,-30.92278935424086,83.37092975431595,-8.178453048878941,58.93702227834297,0.0,1.3608717646286121,1.3608717646286121,-598.552997138695,-59.40785904522083,-120.77709249999276,314.1095240270706,242.22148427160403,31.136221040584264,87.91403587929675,-64.41734840192518
43,TX,-71.55988976724798,180.1380117508806,-23.395015835311906,93.58622880906418,0.0,3.9042028506933417,3.9042028506933417,-924.9569544132398,-108.74767640290142,-152.70903845226024,426.21706683712665,328.67176145311953,42.24892207714958,119.29107410018703,-59.71267539244869
19,ME,-73.29336084319594,72.64789529440358,-10.395016966783167,43.41131110238413,0.0,1.703859870232096,1.703859870232096,-486.6058355110443,-57.73381867672157,-299.5093252795902,332.09762291511595,256.0927733558256,32.91929789829138,92.94860583046977,-52.57459054601144
2,AZ,-77.84949863137278,122.76014536942976,-17.68369728464474,71.82434079876553,0.0,3.0468649544513244,3.0468649544513244,-830.103825158926,-90.46197080018607,-114.06294914366127,380.9875840755789,293.7936326180485,37.76553311536351,106.63209350220284,-45.3941156322463
14,IN,-79.25358953970711,85.4082234184661,-8.826686595159991,69.26708869252226,0.0,1.4602786386743318,1.4602786386743318,-685.0246364257669,-75.79905757128776,-53.50924573939129,294.3212080993018,226.96198117278524,29.17469701275878,82.37561509484833,-46.52333397613238
25,MO,-135.28314492707307,106.16958792175508,-12.117399087935153,70.43200750448867,0.0,1.9140015070371583,1.9140015070371583,-697.2620781517082,-80.52978703111374,-185.70985471916325,331.1814526579575,255.38628054819173,32.82848218766926,92.6921850004779,-52.182024771767146
12,ID,-152.99228763685016,96.21447327199593,-12.698029122693534,82.14683945766437,0.0,2.1998045001894004,2.1998045001894004,-824.8825981915868,-71.16939648246773,-242.03546599768734,399.27563390982766,307.89622498294284,39.5783427199246,111.75061473861062,-43.468535923759504
42,TN,-173.67269620563775,129.36690070491755,-17.564935556323043,69.75827618993573,0.0,3.048241339728655,3.048241339728655,-785.3004790814173,-97.40994670001528,-227.28672499943292,371.74913425307426,286.6695218948634,36.84976840992573,104.04640492214324,-50.64709892276629
27,NE,-220.43048730133728,100.40494900675037,-11.349435601370216,73.4774411373504,0.0,1.7654325226466696,1.7654325226466696,-672.9112765810395,-63.39105264863938,-342.96032078131304,355.3118498787137,273.99412330297315,35.22041660605326,99.44588218179744,-71.20392884790671
