,STATE,WEIGHTED_CHANGE_PER_FILER
0,AL,-285.241756635648
1,AK,307.32712611343914
2,AZ,241.77521899478631
3,AR,63.32752181250387
4,CA,1236.3114193222623
5,CO,1142.1108232740685
6,CT,1764.9962807827583
7,DE,297.7004036379522
8,DC,2124.481996740576
9,FL,645.6792794253771
10,GA,9.079680425266965
11,HI,450.24245599773
12,ID,33.74670805964408
13,IL,860.8346841613933
14,IN,230.23934736864254
15,IA,239.0364459054739
16,KS,368.9336481285782
17,KY,-28.79623873374684
18,LA,-68.73697873300556
19,ME,73.8715032256349
20,MD,753.7941061665142
21,MA,1983.7269824121306
22,MI,419.0938015463181
23,MN,833.1771555658814
24,MS,-702.2787310251773
25,MO,116.54730166272583
26,MT,315.6875966643456
27,NE,-45.75631706459902
28,NV,889.3285365864749
29,NH,1008.3529938111753
30,NJ,1199.8664313641507
31,NM,-153.05594796506952
32,NY,1626.0427706107275
33,NC,-78.68291981074526
34,ND,601.8608598381137
35,OH,374.47319381319653
36,OK,-191.54675765680446
37,OR,626.4748547305661
38,PA,517.5118024593075
39,RI,607.5412533724365
40,SC,-67.91294834955238
41,SD,368.2650386672065
42,TN,85.70194155760093
43,TX,308.8513229770363
44,UT,300.5891345244243
45,VT,598.6360942642473
46,VA,570.9465375540589
47,WA,1318.5227168997837
48,WV,-117.12104503758088
49,WI,373.49269645359675
50,WY,980.8373367507568
