,STATE,WEIGHTED_CHANGE_PER_FILER,MARGINAL_RATE_PER_FILER,CAP_GAINS_AT_DEATH_PER_FILER,NIT_PER_FILER,PASSTHROUGH_LIMIT_PER_FILER,1031_LIMIT_PER_FILER,CARRIED_INTEREST_PER_FILER,ADDITIONAL_CTC_PER_FILER,EITC_PER_FILER,PREM_TAX_CREDIT_PER_FILER,CORP_RATE_PER_FILER,GILTI_CHANGES_PER_FILER,REPEAL_FIDII_PER_FILER,BOOK_TAX_PER_FILER,CDCTC_PER_FILER
8,DC,2835.436408721557,0.0,408.3265116252677,360.88196090029817,387.7898264060221,8.957801834558397,7.962490519607464,-11.12808285712764,-81.53563022988561,-17.311665386629876,1144.867594175163,533.5305293243479,64.67036719083005,119.2359895080929,-90.81128428898724
21,MA,2467.184721932367,0.0,488.77351760568496,235.97348253806848,253.56799658695962,11.423803719095927,10.154492194751935,-8.235898818391503,-57.61466374854861,-111.75430297357038,1062.7858807789669,495.2788570620429,60.033800856005186,110.68732032825955,-83.88956419695762
32,NY,2314.2155142142137,0.0,469.3609944794126,242.4364282134299,260.5128285626769,10.575075517565386,9.400067126724789,-13.245395460285325,-96.7352346723214,-39.03316518046829,954.5784583391431,444.8520970900862,53.92146631394986,99.41770351634501,-81.82580963204487
6,CT,2181.070791592922,0.0,503.3949946275533,175.85477330410708,188.96675201537823,11.202618310134087,9.957882942341412,-9.964846688857895,-67.63761419196184,-231.09605070158653,1032.3107529303368,481.07685573452596,58.3123461496395,107.51338821339783,-78.82106105208611
4,CA,1922.5989390244185,0.0,399.97037838214226,200.01607291903022,214.92955204018585,9.296568916165876,8.263616814369662,-14.683482507244339,-90.12835361936578,-267.3931070062129,942.5820403188003,439.2615333524506,53.24382222453947,98.16829722649467,-70.92800003693804
47,WA,1894.3997470542295,0.0,351.50073000915705,146.28046021610945,157.1873366357316,7.699772953381145,6.844242625227685,-11.559168101353036,-60.3281301329856,-113.19972994928054,906.4434562291008,422.42025144657117,51.20245472079651,94.40452589146855,-64.49645548969546
30,NJ,1749.0181210731655,0.0,242.93338447487153,195.3232139782749,209.8867869503392,5.482300055923311,4.873155605265165,-11.399800130345636,-76.58808793807717,-167.7828264656871,888.1849483597024,413.91143224529816,50.171082696399786,92.5029337214871,-98.48040248028673
28,NV,1730.0570563545955,0.0,461.78259118063147,168.19402334803448,180.7348057906511,11.071925254691495,9.84171133750355,-17.392179435930068,-105.83380268569836,-183.99956717175874,784.2481809795236,365.47488045647697,44.299985509876,81.67809828383389,-70.04359649323987
5,CO,1714.8885131628442,0.0,307.15541884709,149.74023706387055,160.90507930108896,7.2400785940487635,6.435625416932235,-11.728940711770091,-65.58262024763886,-172.09290944261483,859.4309213177876,400.5114973131437,48.54684815916893,89.50825129346772,-65.18097374173038
50,WY,1552.7252838978798,0.0,512.4828045302393,179.88580291765592,193.2983408544987,10.799861499161684,9.59987688814372,-12.67907680571276,-68.23062466620021,-654.0431272510461,892.0062534337604,415.69223460990776,50.38693752847367,92.90091606812334,-69.37491570912566
