,STATE,WEIGHTED_CHANGE_PER_FILER
0,AL,-334.59230585381897
1,AK,-146.52782694684032
2,AZ,-81.62149397516293
3,AR,-99.53303411287209
4,CA,150.54862453019288
5,CO,131.27160901842066
6,CT,216.42887677454067
7,DE,-124.81264300471926
8,DC,621.8384170379679
9,FL,-198.2905799097699
10,GA,-235.9874191922101
11,HI,-23.46589398036189
12,ID,-257.6199697396844
13,IL,59.96125989656716
14,IN,-23.90769697975002
15,IA,-157.38974037786457
16,KS,-89.62280825635226
17,KY,-145.26074448086908
18,LA,-145.02781130518267
19,ME,-444.68050164701384
20,MD,26.278094466416636
21,MA,414.9992572682247
22,MI,-21.506925643297095
23,MN,87.82606504457581
24,MS,-401.64658805283125
25,MO,-221.6650591864997
26,MT,-211.9310380152045
27,NE,-464.42825339931323
28,NV,182.72089988954184
29,NH,-18.71590482564799
30,NJ,137.7162319828722
31,NM,-162.71580389471652
32,NY,432.2146149471027
33,NC,-433.3913264955815
34,ND,-3.567762274057216
35,OH,-5.621816814164918
36,OK,-324.29238618850366
37,OR,-25.180579022816225
38,PA,-124.14449246391882
39,RI,2.4282277844099336
40,SC,-286.22776507547474
41,SD,-135.72303353498097
42,TN,-278.15145315206297
43,TX,-95.61480083866826
44,UT,-152.6577431244126
45,VT,-89.87350591006683
46,VA,-151.9606426276636
47,WA,202.88795684266992
48,WV,-193.3321196533576
49,WI,-179.07140773340254
50,WY,-120.9814371565152
