,STATE,WEIGHTED_CHANGE_PER_FILER
0,AL,-319.9437150297832
1,AK,-121.23804920713552
2,AZ,-3.580028671067795
3,AR,4.523951398496402
4,CA,329.27481625739824
5,CO,270.27127177823604
6,CT,429.8202746352686
7,DE,-77.00313440414483
8,DC,888.2934850782576
9,FL,-54.78076630197637
10,GA,-180.13877661673618
11,HI,31.332188647031295
12,ID,-226.33035617671717
13,IL,192.02788164262134
14,IN,29.36347745723009
15,IA,-133.0292767208767
16,KS,-22.37142857112154
17,KY,-115.89776429710241
18,LA,-89.93857641658008
19,ME,-461.9704211544081
20,MD,109.04634485863285
21,MA,658.3372821300037
22,MI,49.17699176250524
23,MN,177.80355248654087
24,MS,-406.8055300136059
25,MO,-188.05992506220983
26,MT,-178.0578022539666
27,NE,-475.4042054359941
28,NV,386.0700715130596
29,NH,67.54729065592352
30,NJ,262.67079775288073
31,NM,-127.68878511659705
32,NY,680.4180173140093
33,NC,-425.52916537784165
34,ND,52.39645135232218
35,OH,59.786816986543435
36,OK,-300.2921242203673
37,OR,44.74604974607875
38,PA,-65.74135405231858
39,RI,74.74181658600351
40,SC,-257.0402314053828
41,SD,-79.66748064031322
42,TN,-231.64075653295438
43,TX,5.779711275509625
44,UT,-77.13572065059856
45,VT,-40.23844122110208
46,VA,-94.70034653318226
47,WA,365.7594182972217
48,WV,-187.28808610696123
49,WI,-145.11683900680492
50,WY,43.0706395904441
