,STATE,WEIGHTED_CHANGE_PER_FILER
0,AL,-1167.2174842970176
1,AK,-708.9565528937411
2,AZ,-880.2222340140319
3,AR,-1019.6893699616815
4,CA,-472.5138846949087
5,CO,-392.43772086576115
6,CT,-128.98043524488085
7,DE,-721.7951429443029
8,DC,51.44143559722923
9,FL,-897.9813496333114
10,GA,-1105.0786166388773
11,HI,-568.101571677942
12,ID,-1056.9828189974724
13,IL,-525.3463054593946
14,IN,-698.8100526134222
15,IA,-721.8923542021129
16,KS,-767.5748376327027
17,KY,-861.6361878308031
18,LA,-1046.2600568868136
19,ME,-866.0872390668502
20,MD,-511.08741304490303
21,MA,28.51643299717784
22,MI,-606.0032314399896
23,MN,-407.1424762538278
24,MS,-1407.17796862469
25,MO,-874.2564959579598
26,MT,-763.7070877801395
27,NE,-1073.631660826954
28,NV,-605.5247646569096
29,NH,-312.1243291346784
30,NJ,-328.67569180927916
31,NM,-957.1618996680431
32,NY,-158.8900891506299
33,NC,-1115.5288599010673
34,ND,-508.59893479183205
35,OH,-601.7012413920038
36,OK,-1148.284290288441
37,OR,-561.7701062793308
38,PA,-593.2645828232636
39,RI,-489.4480730119553
40,SC,-1039.1644899530238
41,SD,-772.3008783823127
42,TN,-999.3697807908208
43,TX,-966.416299471873
44,UT,-977.5481762061794
45,VT,-482.3079711842663
46,VA,-696.5366070656057
47,WA,-297.7422074085719
48,WV,-795.1105457093927
49,WI,-658.6933830192884
50,WY,-698.7676638327234
