fips,abbr,district,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031
1,AL,1,66474.37,69266.3,72314.01,75495.83,78666.66,81655.99,84758.92,87979.76,91235.01,94610.7
1,AL,2,60302.68,62835.39,65600.15,68486.56,71362.99,74074.79,76889.63,79811.44,82764.46,85826.74
1,AL,3,61739.7,64332.77,67163.41,70118.6,73063.58,75839.99,78721.91,81713.35,84736.74,87872
1,AL,4,61417.47,63997.01,66812.88,69752.64,72682.25,75444.18,78311.06,81286.88,84294.49,87413.39
1,AL,5,76633.29,79851.89,83365.37,87033.45,90688.85,94135.03,97712.16,101425.22,105177.96,109069.54
1,AL,6,98853.19,103005.02,107537.24,112268.88,116984.17,121429.57,126043.89,130833.56,135674.4,140694.36
1,AL,7,49020.59,51079.45,53326.95,55673.34,58011.62,60216.06,62504.27,64879.43,67279.97,69769.33
2,AK,0,81623.81,85052.01,88794.29,92701.24,96594.7,100265.29,104075.37,108030.24,112027.36,116172.37
4,AZ,1,67176.94,69998.37,73078.3,76293.74,79498.08,82519.01,85654.73,88909.61,92199.27,95610.64
4,AZ,2,73352.93,76433.75,79796.83,83307.9,86806.83,90105.49,93529.49,97083.62,100675.71,104400.71
4,AZ,3,50131.57,52237.1,54535.53,56935.1,59326.37,61580.77,63920.84,66349.83,68804.78,71350.56
4,AZ,4,64274.04,66973.55,69920.38,72996.88,76062.75,78953.13,81953.35,85067.58,88215.08,91479.04
4,AZ,5,90674.31,94482.63,98639.86,102980.02,107305.18,111382.78,115615.32,120008.7,124449.02,129053.64
4,AZ,6,126760.38,132084.32,137896.03,143963.45,150009.92,155710.29,161627.29,167769.12,173976.58,180413.71
4,AZ,7,46202.46,48142.97,50261.26,52472.75,54676.61,56754.32,58910.98,61149.6,63412.13,65758.38
4,AZ,8,76481.47,79693.69,83200.21,86861.02,90509.18,93948.53,97518.58,101224.28,104969.58,108853.46
4,AZ,9,83253.54,86750.19,90567.2,94552.15,98523.34,102267.23,106153.38,110187.21,114264.14,118491.91
5,AR,1,54168.2,56443.27,58926.77,61519.55,64103.37,66539.3,69067.79,71692.37,74344.99,77095.75
5,AR,2,72213.12,75246.07,78556.9,82013.41,85457.97,88705.37,92076.18,95575.07,99111.35,102778.47
5,AR,3,91565.39,95411.13,99609.22,103992.03,108359.7,112477.36,116751.5,121188.06,125672.02,130321.88
5,AR,4,54811.53,57113.62,59626.62,62250.19,64864.69,67329.55,69888.08,72543.82,75227.94,78011.38
5,CA,1,70371.84,73327.46,76553.86,79922.23,83278.97,86443.57,89728.43,93138.11,96584.22,100157.83
5,CA,2,139550.87,145412.01,151810.14,158489.78,165146.36,171421.92,177935.95,184697.52,191531.32,198617.98
5,CA,3,77113.19,80351.95,83887.43,87578.48,91256.77,94724.53,98324.06,102060.38,105836.61,109752.57
5,CA,4,102528.48,106834.68,111535.4,116442.96,121333.56,125944.24,130730.12,135697.86,140718.68,145925.28
5,CA,5,91088.95,94914.69,99090.94,103450.94,107795.88,111892.12,116144.02,120557.49,125018.12,129643.79
5,CA,6,67499.43,70334.41,73429.12,76660,79879.72,82915.15,86065.93,89336.43,92641.88,96069.63
5,CA,7,84439.31,87985.76,91857.14,95898.85,99926.6,103723.81,107665.32,111756.6,115891.6,120179.58
5,CA,8,59086.05,61567.66,64276.64,67104.81,69923.21,72580.3,75338.35,78201.2,81094.65,84095.15
5,CA,9,73667.13,76761.15,80138.65,83664.75,87178.66,90491.45,93930.13,97499.47,101106.95,104847.91
5,CA,10,70021.02,72961.91,76172.23,79523.81,82863.81,86012.63,89281.11,92673.79,96102.72,99658.53
5,CA,11,142608.47,148598.02,155136.34,161962.34,168764.75,175177.81,181834.57,188744.28,195727.82,202969.75
5,CA,12,202385.49,210885.68,220164.65,229851.9,239505.68,248606.89,258053.96,267860.01,277770.83,288048.35
5,CA,13,115347.79,120192.39,125480.86,131002.02,136504.1,141691.26,147075.53,152664.4,158312.98,164170.56
